abolish[動],廃止する、なくす
 modernization[名],近代（現代）化
 modification[名],修正
 module[名],構成単位、(英国)大学の履修単位
 mold[名],鋳型
 monopoly[名],独占、専売
 mortality[名],死亡、死すべき運命、死亡率
 motive[名],動機、誘因
 muddy[形],ぬかるみの、泥だらけ
 mug[名],ジョッキ、マグカップ
 multimedia[名],マルチメディア
 multitude[名],多数、群衆
 mummy[名],ミイラ
 mute[形],無言の、沈黙した
 mutually[副],相互に
 myth[名],神話、作り話、虚構
 narrowly[副],狭く、かろうじて
 necessity[名],必要、必要性、必需品
 neighboring[形],隣の、近隣の
 net[形],正味の、掛け値なしの
 newsstand[名],（路上などの）新聞雑誌の売店
 notification[名],（正式な）通知
 numerical[形],数字で表した、数の
 nursery[名],託児所
 nursing[名],看護
 oblige[動],義務付ける、～に強いる
 observable[形],見てわかる、注目すべき
 obsolete[形],すたれた、時代遅れの
 offset[動],相殺する
 old-fashioned[形],（もののスタイルなどが）古めかしい、昔風の
 oppression[名],圧迫、抑圧
 oppressive[形],制圧的な、抑圧的な
 ornament[名],装飾（品）
 outlook[名],見通し、予想、見解
 overdo[動],やり過ぎる
 packed[形],満員の、満載の
 paperwork[名],事務処理、書類仕事
 paradox[名],逆説、矛盾
 parallel[名],類似（物）、匹敵するもの
 particle[名],粒子、微粒子、素粒子
 patent[動],特許を取る
 pave[動],舗装する
 pavement[名],（舗装された）歩道、舗装道路
 perfume[名],香水、香料
 pessimist[名],悲観主義者
 petition[名],請求、申請、嘆願
 petrol[名],ガソリン
 petroleum[名],石油
 petty[形],ささいな、小規模な、価値の少ない
 philosophical[形],達観した、冷静な、哲学的な
 plague[名],疫病、伝染病
 plea[名],答弁、抗弁、嘆願、請願
 plead[動],嘆願する、懇願する
 plot[名],小区画の土地
 poison[動],毒を盛る、害を与える
 poison[名],毒、毒物
 polluted[形],汚染された
 ponder[動],熟考する、思案する
 pop[動],急に現れる、ポンと鳴る
 postulate[動],仮定する、前提と考える
 postwar[形],戦後の
 prairie[名],大草原
 precedence[名],優先、先行
 premier[形],最高の、第1位の
 premise[名],前提、基調
 present-day[形],今日の、現代の
 presumably[副],おそらく、たぶん
 preventive[形],予防的な
 prey[動],餌食にする、略奪する、捕食する
 probability[名],確率、可能性、見込み
 probe[名],探査、探索機、探査ロケット
 procedural[名],手順の、手続き上の
 proceeding[名],進行、処置、手続き
 proceedings[名],成り行き、一連の出来事、議事録
 proficiency[名],熟達
 progression[名],進行、発展
 projection[名],投射、投影
 prolonged[形],長期の、長期にわたる、長引く
 prone[形],傾向がある
 proposition[名],提案、命題、陳述
 prototype[名],模範、原型、試作品
 prune[動],刈り込む、（木などを）剪定する
 query[名],質問、問い合わせ
 raise[動],（資金など）を集める、募る
 rally[動],（再）結集する、（元気を）回復する、持ち直す
 ratio[名],比率、割合
 realization[名],認識、悟ること、現実
 rear[動],育てる
 reconcile[動],調和させる、和解させる
 reed[名],（植物の）アシ、ヨシ
 referendum[名],国民（住民）投票
 refined[形],精製された、洗練された、高品質の
 regime[名],（政治の）体制、（強圧的な）政権
reinforce[動],補強する、強化する
 remain[名],遺体、遺骨、遺物、残り
 remodel[動],改造する、リフォームする
 repel[動],追い払う
 resolute[形],断固とした、意志の固い
 retrieve[動],回収する、取ってくる、検索する
 revelation[名],驚くべき新事実、暴露
 ridicule[名],あざけり、嘲笑
 rim[名],（特に円周の）縁、へり、端
 riot[名],暴動
 ripple[名],さざ波、波紋、影響
 risk-taker[名],危険を冒す人
 ritual[名],儀式
 roam[動],歩き回る
 rubbish[名],ごみ、くず、がらくた
 rug[名],敷物、じゅうたん、ラグ
 rumble[動],ごろごろ鳴る、ぐうぐう鳴る
 rust[名],錆
 satire[名],風刺、皮肉
 scarcity[名],不足、欠乏、希少性
 scented[形],香りの付いた
 school[名],（学問・芸術の）流派、学派
 seam[名],縫い目、継ぎ目
 self-confident[形],（自分（の能力など）に）自信がある
 semester[名],学期、半期
 sensitivity[名],敏感さ、感受性
 serial[形],連続した、連載物の
 shaft[名],柄、取っ手、シャフト
 shove[動],（手荒く）押す、突く
 shrug[動],肩をすくめる
 simulate[動],ふりをする、模擬実験する
 sip[動],ちびちび飲む、すする
 situate[動],置く、位置づける
 slum[名],スラム街
 slumber[名],眠り、まどろみ
 sniff[動],くんくん嗅ぐ
 sociable[形],社交的な
 socialize[動],社会生活に適応させる、社交的に交際する
 solemn[形],厳粛な
 soothing[形],なだめる、落ち着かせる、緩和させる
 sorrow[名],悲しみ
 sovereign[形],主権を有する
 specimen[名],標本、見本
 spell[名],呪文
 spontaneous[形],自発的な、自然発生的な
 spot[動],見つける、気付く
 squash[動],押しつぶす、踏みつぶす
 staircase[名],階段
 stall[動],止まらせる、頓挫させる
 stall[名],露店
 stammer[名],吃音、どもること
 standardize[動],規格化する、標準化する
 star[動],主演する/させる
 static[形],静的な
 stationary[形],静止した、動かない
 stimulating[形],刺激する
 storehouse[名],倉庫
 stray[動],はぐれる、迷う
 streak[名],筋、線
 strife[名],争い、不和、衝突
 striped[形],しまの入った、ストライプ入りの
 subdue[動],征服する、鎮圧する、抑える
 subjective[形],主観的な
 subsidize[動],補助金を支給する
 substantially[副],かなり、相当、十分に
 suffice[動],十分である、足りる
 superiority[名],卓越、優勢
 supervision[名],監督、管理、統率、指揮
 surge[動],急増する
 surveillance[名],監視、見張り、偵察
 suspect[形],疑わしい
 syndrome[名],症候群
 tactics[名],戦術、戦法
 tan[動],日焼けする
 tangle[動],紛糾（混乱）させる
 temperate[形],温暖な、穏やかな、節度のある
 testimony[名],証言
 theoretical[形],理論（上）の、理論的な
 thrive[動],成功する、繁栄する、目標を達成する
 thrive[動],繁栄する、よく育つ
 thunderstorm[名],激しい雷雨、雷を伴う暴風雨
 tolerate[動],容認する、大目に見る
 topple[動],ぐらつく、崩れる、倒す
 tow[動],けん引する
 tracking[名],追跡、追尾
 trait[名],特性、特色
 tramp[動],どしんどしんと歩く、踏み付ける
 transplant[名],移植
 tremendously[副],とてつもなく、ものすごく
 trench[名],溝、堀
 two-story[形],2階（建て）の、2層の
 underestimate[動],過小評価する
 undergraduate[名],学部学生
 underlying[形],下にある、基礎をなす、潜在する
 undermine[動],徐々にむしばむ、弱体化させる
 unemployed[形],失業中の
 unfit[形],不適当な、不適格な
 unleash[動],解き放つ、爆発させる、引き起こす
 unoccupied[形],使われていない
 unofficial[形],非公式の
unrelated[形],無関係の
 unsafe[形],安全でない、危険な
 unstable[形],不安定な
 unwanted[形],望まれていない、不要の
 upper-class[形],上級の、上流階級の
 vacancy[名],空き
 vaccine[名],ワクチン
 valve[名],バルブ、開閉弁
 variable[形],変わりやすい、移り気な
 velocity[名],速度
 vent[名],（液体や気体が抜ける）穴、通気孔
 vertical[形],垂直の
 Viking[名],海賊、（V～）バイキング
 voice[動],声にする
 volatile[形],揮発性の、変動しやすい、気まぐれな
 wasp[名],スズメバチ、ジガバチ
 weigh[動],（決定のために）比較検討する、評価する
 weird[形],異様な、気味の悪い
 withhold[動],保留する、知らせずにおく、（税金などを）差し引く、差し控える、抑える
 woodwork[名],木材工芸、木工品
 workplace[名],職場、作業場
 worsen[動],悪化する、悪化させる
