 abacus[名],そろばん
 perforate[動],穴を開ける
 petal[名],花びら
 phonetic[形],音声上の
 photosynthesis[名],光合成
 pigment[名],絵の具、色素
 pinpoint[動],（原因などを）正確に指摘する
 pistil[名],雌しべ
 placate[動],なだめる、和らげる、落ち着かせる
 placebo[名],偽薬、プラシーボ
 placidly[副],穏やかに
 plasticity[名],可塑性
 plateau[名],高原、台地
 plausible[形],もっともらしい、理にかなっている
 playing field[名],競技場、（活動の）場、舞台
 plaything[名],おもちゃ
 plutonium[名],プルトニウム
 polio[名],小児麻痺
 pollinate[動],授粉する
 polyester[名],ポリエステル
 positive charge[名],プラス電荷
 potassium[名],カリウム
 power[名],～乗
 precarious[形],不安定な、心もとない、当てにならない
 predatory[形],捕食性の、略奪する
 preeminent[形],卓越した、優位の
 premonition[名],予告、徴候、前兆、予感
 preponderance[名],優勢、優越
 preservative[名],防腐剤、保存剤
 pretentious[形],うぬぼれた、これ見よがしの
 primate[名],霊長類
 principal[名],（利子に対して）元金
 pristine[形],損なわれていない、原始の、汚れていない
 pro-choice[形],中絶（合法化に）賛成の
 prodigal[動],浪費する、散財する
 progression[名],数列
 prolific[形],多産の、多作の
 proponent[名],支持者、主唱者
 proprietor[名],所有者、（特に不動産の）持ち主
 psychoanalysis[名],精神分析
 psychotherapy[名],精神療法
 pueblo[名],プエブロ族（れんが造りの北米先住民の集落）
 Puritan[名],清教徒
 reclamation[名],開墾、埋め立て
 rectify[動],修正する、調整する
 recuperation[名],回復
 Red Cross[名],赤十字社
 regrow[動],再成する
 relic[名],遺跡、遺品、名残
 reminiscence[名],回想、追憶、思い出
 remnant[名],残り、余り
 repent[動],後悔する
 repute[動],～を評する
 reputed[形],～という評判の、～とうわさされている
 requisite[形],必要な、必須の
 research paper[名],研究論文
 reservoir[名],貯水池、貯蔵所
 reverence[名],敬意、尊敬の念
 revolutionize[動],革命をもたらす、大改革する
 right angle[名],直角
 rotary[形],回転式の
 rubble[名],石くず、がれき
 sandstone[名],砂岩
 saturate[動],満たす、飽和させる
 scorn[動],嘲笑する、軽蔑する
 seclude[動],隔離する、引きこもらせる
 sedentary[形],定住性の
 segregation[名],人種差別、（人種）隔離
 seismic[形],地震の
 severity[名],厳しさ、激しさ、深刻さ、重大さ
 shaman[名],シャーマン
 skull[名],頭蓋骨、頭
 skunk[名],スカンク
 slick[形],滑りやすい
 smallpox[名],天然痘
 solicit[動],勧誘する、懇願する、求める
 solidify[動],固まる、凝固する
 solvent[名],溶剤
 sophistication[名],洗練された考えや方法
 special relatively[名],特殊相対性(理論)
 sperm[名],精液
 sponge[名],海綿動物
 spore[名],胞子、芽胞
 sprout[動],芽を出す
 stagnant[形],よどんだ、活気がない、停滞した
 starfish[名],ヒトデ
 statute[名],法令
 steadfast[形],（信念などが）確固たる、不動の
 sterilize[動],消毒（殺菌）する
 stroke[名],脳卒中、発作
 subatomic[形],亜原子の
 subject[名],臣民
 subscribe[動],予約購読する
 subscriber[名],加入者、予約（定期）購読者
 suffocate[動],窒息する、窒息させる
 suffrage[名],選挙権、参政権
 sulfuric acid[名],硫酸
 summer session[名],夏期講習、夏学期
 surcharge[名],追加料金
 susceptible[形],（to ～の形で）～の影響を受けやすい、～に感染しやすい
 sustenance[名],生命を維持するもの、食物
 sweeping[形],広範囲にわたる、圧倒的な
 synthesize[動],合成する、統合する
 synthetic[形],合成された、合成の
 tadpole[名],オタマジャクシ
 talisman[名],お守り
 tallow[名],獣脂
 tame[動],調教する、飼い馴らす
 tangent[形],接線の
 tangled[形],もつれた
 tempest[名],暴風雨、大騒ぎ、騒動
 tenacious[形],頑固な、頑強な
 terra[名],土、大地
 thermal[形],温泉の、温度（熱）の、暖かい
 thermodynamic[名],熱力学
 thoroughfare[名],通り
 threadlike[形],糸のような
 throng[名],大勢、群衆
 tick[名],ダニ
 tint[名],色合い、色調
 touchy[形],怒りっぽい、扱いにくい、気難しい
 tract[名],（海や空などの）広がり、（体内器官の）管
 transitory[形],はかない、一時的な
 translucent[形],半透明な
 transpiration[名],蒸散
 traumatic[形],精神的外傷を引き起こす
 treachery[名],反逆
 tripe[名],くだらないもの
 tundra[名],ツンドラ、凍土帯
 unattractive[形],美しくない
 underscore[動],強調する、下線を引く
 unicellular[形],単細胞の
 unsuspected[形],予期せぬ
 unwarranted[形],保証されていない、根拠を欠く
 Uranus[名],天王星
 urine[名],尿
 utilitarian[形],実用的な
 utopia[名],ユートピア、理想郷
 vaccinate[動],予防接種をする
 vault[名],金庫室、地下納骨室、丸天井
 vendor[名],物売り、行商人
 venomous[形],有毒な
 verdict[名],(陪審員の)評決、決定、判断
 visionary[形],先見の明のある、明確なビジョンを持った
 vocal cord[名],声帯
 vocational[形],職業の
 void[形],無効の、空っぽの
 walrus[名],セイウチ
 wedge[動],(くさびなどを）押し込む
 westernization[名],西欧化
 wharf[名],埠頭
 whiten[動],白くする
 woodwind[名],木管楽器
 wrath[名],激怒
 xylophone[名],シロホン
 yolk[名],黄身、卵黄
 zealot[名],熱狂する人、狂言者
 zenith[名],天頂、頂点
 zinc[名],亜鉛
