 abandon[動],断念する、捨てる、見捨てる
 deputy[名],代理（人）、副官
 destination[名],目的地
 detail[名],細部、詳細
 detect[動],見つける、検出する、発見する
 detection[名],発見、探知、検出
 developing[形],発展（開発）途上の（にある）
 digest[動],消化する
 dignity[名],尊厳、威厳
 dining[名],食事、正餐
 diplomatic[形],外交（上）の
 direct[動],～に向ける
 disappoint[動],がっかりさせる、失望させる
 discourage[動],やる気を失わせる、思いとどまらせる、妨げる
 disk[名],円盤、CD
 disturb[動],混乱させる、妨害する
 division[名],分割、分裂、相違
 drain[動],（液体を）流出させる、力を消耗させる
 drift[動],漂う、漂流する、流される
 drive[動],駆り立てる、駆動する、動作させる
 ecological[形],生態の、環境保護の
 ecology[名],生態学、自然環境
 eloquent[形],雄弁な、説得力のある
 emerge[動],現れる、出現する、生まれる
 emergency[名],緊急事態、非常時
 engage[動],～を従事させる
 enormous[形],巨大な、莫大な
 envy[動],羨ましく思う
 eternal[形],永遠の、永久の
 execute[動],実行する、制作する
 exhausted[形],疲れ果てた、使い尽くされた
 expand[動],広げる、拡張する、拡大する
 experimental[形],実験の、実験的な
 exploration[名],探検、探査
 explosion[名],爆発、破裂
 extraordinarily[副],非常に、並外れて
 extraordinary[形],並はずれた
 eye contact[名],(話し相手と)視線を交わすこと
 fame[名],名声
 fatigue[名],疲労
 feature[動],出演させる、呼び物にする、売り物にする、特集する
 field[名],分野、領域
 firm[名],会社
 fitness[名],健康、適合
 flavor[動],風味を付ける、趣を与える
 flavor[名],風味
 flood[動],水浸しにする、濫させる、氾濫する
 flourish[動],繁栄する、繁殖する、繁茂する
 flu[名],（the -）インフルエンザ
 fluently[副],流ちょうに、ペラペラと
 forecast[動],予言する、予想する
 fortune[名],富、財産、幸運
 found[動],設立する、創設する
 frustration[名],欲求不満
 fur[名],毛皮
 further[副],さらに、もっと遠くに、far の比較級
 generous[形],寛容な、気前の良い
 genuine[形],純粋な、誠実な、本物の
 glance[名],ちらりと見ること
 glimpse[名],ちらりと見ること
 glitter[動],輝く
 global warming[名],地球温暖化
 govern[動],統治する、管理する、支配する
 governor[名],知事、総督
 graceful[形],優雅な、上品な、しとやかな
 gradual[形],徐々の、漸進的な、段階的な
 gratitude[名],感謝（の意）
 grave[形],重大な、荘重な
 greenhouse[名],温室
 gross national product(GNP)[名],国民総生産
 hammer[動],打ち付ける
 hanging[名],つるすこと、絞首刑
 harbor[名],港
 hardness[名],固さ
 harmony[名],調和、一致
 hay[名],干し草
 hesitate[動],遠慮する、躊躇する
 hollow[形],空洞の、くぼんだ、空虚な、うわべだけの、内容のない
 hospitality[名],歓迎、もてなし
 household[形],家庭の、家族の
 humorously[副],ユーモラスな方法で
 illustrate[動],例証する、図解する
 immigrant[名],（外からの）移民、移住者
 imply[動],暗に意味する、ほのめかす
 impressive[形],印象的な
 inflation[名],インフレ、通貨膨張、膨張
 initiate[動],始める、開始する、着手する
 innocence[名],無罪、無実
 innovation[名],新しい手法、革新
 inspire[動],鼓舞する、感激させる、駆り立てる
 install[動],取り付ける、導入する、インストールする
 intellect[名],知性
 interest[名],利子、利息、利益、利害（関係）
 interpret[動],解釈する、通訳する
 interpreter[名],通訳
 interrupt[動],邪魔をする、妨げる
 investment[名],投資
 irregular[形],不規則な、不正規の
 Islam[名],イスラム教
 isolate[動],孤立させる、隔離する、分離する
 Jupiter[名],木星
 jury[名],陪審、陪審団
 justify[動],正当化する、正当だと証明する
 knee[名],膝
 launch[動],開始する、着手する、発射する、売り出す
 layer[名],層
 leap[動],跳ぶ、跳ねる
 leftover[名],（食べ物などの）残り物
 lever[名],てこ、レバー
 like[形],似ている、同様の
 logical[形],論理的な、筋の通った
 lot[名],1区画、敷地
 magnificent[形],壮大な、見事な
 majority[名],大多数、過半数
 mathematician[名],数学者
 mayor[名],市長、町長
 mere[形],単なる、ほんの
 mining[名],採掘
 minority[名],少数（派）
 miserable[形],みじめな、哀れな
 mist[名],霧、もや、かすみ
 mixture[名],混合物
 moderate[形],並みの、中庸な、適度な
 modest[形],謙虚な、控えめな、地味な
 modify[動],変更する、修正する
 moisture[名],水分、湿気
 mood[名],気分、雰囲気
 multiple[形],多数の、複数の、多様な
 musical[名],ミュージカル
 naked[形],裸の、むき出しの
 networked[形],ネットワーク化された
 noble[形],高貴な、崇高な、
 note[名],（音楽の音階を伴う）音
 noticeable[形],目立つ、人目を引く、顕著な
 novel[形],目新しい、斬新な
 nowadays[副],近ごろは
 obscure[形],不明瞭な、知られていない、曖昧な
 opera[名],歌劇、オペラ
 optional[形],随意の、任意の
 order[名],秩序、規律、順番、調子
 otherwise[副],さもなければ、他の方法では
 outstanding[形],極めて優れた、際立った
 overall[形],全体の、全部の、総合的な
 overseas[副],海外で、外国で
 overweight[形],太りすぎの、重量超過の
 owe[動],支払う義務がある、借金がある
 painful[形],苦痛な、痛みをもたらす、痛みを伴う
 pale[形],青ざめた、蒼白な、顔色の悪い
 partial[形],部分的な
 pastime[名],娯楽、気晴らし、余暇の楽しみ
 pasture[名],牧草地、牧場
 patent[名],特許（権）、特許品
 patience[名],忍耐力、辛抱
 pea[名],豆
 penalty[名],刑罰、罰金
 personality[名],人柄、性格、人格
 perspective[名],視点、見方、遠近法、透視図法
 photography[名],写真撮影、写真術
 pile[名],（書類や本などの）積み重ね、堆積、山
 pillar[名],柱、支柱
 pity[名],哀れみ、残念なこと
 plantation[名],農園、大農場、植林地
 pole[名],棒、極
 pour[動],注ぐ、（液体を）つぐ
 pressing[形],緊急の、差し迫った
 prevail[動],普及している、支配的である
 priest[名],牧師、神父、聖職者
 primary[形],第一の、主要な
 primitive[形],原始的な、初期段階の、未開の
 principal[形],主要な、第一の
 priority[名],優先権、優先順位、優先事項
 prominent[形],目立った、著名な、卓越した
 promote[動],促進する、昇進させる
 properly[副],適切に
 prospect[名],見込み、将来性
 protester[名],抗議する人
 proverb[名],ことわざ
 psychologist[名],心理学者
 punctual[形],時間を守る、時間に正確な
 rank[動],順位を占める、位置する
 rape[名],強姦、レイプ
 reach[名],（手が）届く範囲
 reception[名],受理、迎え入れ、歓迎会、受付
 recycle[動],再生処理する、リサイクルする
 reform[動],改革する、改編する、再形成する
 regard[名],注意、関心
 rehearsal[名],リハーサル、予行演習
 relate[動],関係づける、関係がある、関わる
 religiously[副],宗教的に
 reluctant[形],乗り気でない、渋っている、気が進まない
 Renaissance[名],復興、復活、ルネッサンス
 rescue[動],救う、救出する
 residence[名],住居、住宅
 resident[名],住民、住人
 rest[名],残り
 restless[形],落ち着かない
 restoration[名],復旧、復活、修復、復古
 restore[動],回復させる、復旧させる
 resume[動],再開する
 rising[形],上がる
 robbery[名],強盗
 romantic[形],（関係などが）恋愛の、ロマンチックな
 routine[名],決められた動作（方法）、（習慣的に）繰り返されるもの、日課
 rude[形],無礼な、失礼な
 rush[名],あわただしさ、急ぐこと、混雑
 sacrifice[動],犠牲にする
 satellite[名],衛星
 scarcely[副],ほとんど～ない
 scent[名],（いい）香り
 scold[動],叱る
 scrape[動],こすり取る、こすって滑らかにする
 scratch[動],引っかく、（体や頭などを）かく
 scratch[名],引っかき傷、かすり傷
 seaside[名],海辺
 sect[名],(宗教などの)一派
 Senate[名],上院
 sensitive[形],敏感な、繊細な
 separate[動],分離する
 separately[副],離れて、分けて、別々に
 shameful[形],恥ずべき
 share[名],(複数形で)株、株式
 shed[動],（木が葉を）落とす、（血・涙を）流す、発する、放つ
 shiver[動],(寒さなどで)震える
 shortcut[名],近道
 sigh[動],ため息をつく
 skillful[形],熟練した
 skip[動],（順番などを）飛ばす、抜かす、（授業などを）さぼる、休む
 snack[名],おやつ、軽食、スナック
 snapshot[名],スナップ写真
 soak[動],浸す、びしょ濡れにする
 solar[形],太陽の、太陽光線を利用した
 somewhat[副],多少、いくぶん
 specialize[動],専門とする
 species[名],（生物の）種
 spectator[名],（スポーツなどの）観客
 spill[動],（液体などを）こぼす、撒き散らす
 spiritual[形],精神の、霊的な
 spoil[動],害する、台無しにする
 stain[動],汚す、シミをつける
 standing[名],身分、地位
 startle[動],びっくりさせる
 starve[動],飢えに苦しむ、餓死する
 starving[形],飢えた、飢えて死にそうな
 steadily[副],着実に、確実に
 stretch[動],伸ばす、引き延ばす
 structure[名],構造（物）
 stumble[動],つまずく、よろける
 stylish[形],流行の
 submit[動],提出する
 successive[形],連続する、次の、歴代の
 sue[動],告訴する、訴える
 superior[形],よりすぐれた、上位の
 suspend[動],一時中止する、停職（停学）処分にする
 suspicion[名],疑い、疑惑、猜疑心
 symbolize[動],象徴する、象徴化する
 sympathize[動],同情する
 symphony[名],交響曲
 taxation[名],課税
 technical[形],専門の、技術的な、建前上の
 telegraph[名],電信、電報
 temptation[名],誘惑
 tendency[名],傾向
 tender[形],優しい
 term[名],（専門）用語、言葉
 terrorism[名],テロ（行為）
 thankful[形],（～に）感謝して、ありがたく思って
 the United Nations[名],国際連合、国連
 therapy[名],療法、セラピー
 thoughtfully[副],思慮深く
 tissue[名],（生物の）組織
 tongue[名],舌
 totally[副],完全に、全く、とても
 trader[名],貿易業者、商人
 traditional[形],伝統的な、従来の
 transfer[名],移動、移行
 transform[動],変化させる、変質させる
 transition[名],移り変わり、変遷、移行
 transmit[動],伝える、知らせる、送信する
 trap[動],閉じ込める、追い込む、罠でとらえる
 treasured[形],貴重な、大事にした
 trunk[名],幹
 tutor[名],家庭教師、個人教授、指導教員、（大学の）助手
 ultimate[形],究極の、最終的な
 unavoidable[形],避けられない、不可避の
 uncertain[形],不確かな
 union[名],（労働）組合
 unity[名],単一（性）、統一、統合
 unusual[形],珍しい、普通でない
 unwillingly[副],不承不承に
 upset[動],壊す、乱す、動揺させる
 vague[形],あいまいな、漠然とした
 vegetarian[名],菜食（主義）者
 venture[動],危険を冒して進む/試みる
 vice[名],悪、悪徳
 vigor[名],活力
 vigorous[形],精力的な、活力にあふれた、積極的な
 violently[副],暴力的に、激しく
 vitality[名],活力、活気
 volcano[名],火山
 weaken[動],衰弱させる、弱める、薄める
 well-known[形],有名な、よく知られた
 wicked[形],邪悪な、意地の悪い、不道徳な
 witness[動],（時代などが）～を示す、～を証明する
 work[名],作品
 worship[名],崇拝
 wrist[名],手首
 ～-oriented[形],～志向の
