abate[動],和らぐ、治まる、少なくなる
 encompass[動],を含む、包含する、を取り囲む
 engender[動],生じさせる、引き起こす
 engraving[名],版画、彫刻、印刷物
 enigma[名],謎、謎めいた言葉
 enigmatic[形],なぞのような
 ensue[動],続いて起こる、結果として起こる
 entice[動],誘惑する、おびき寄せる
 entomology[名],昆虫学
 epicenter[名],（地震の）震央、震源地
 equable[形],一様な、むらのない、安定した
 equate[動],同一視する、同等とみなす
 equilibrium[名],均衡、平衡
 equitable[形],公平な、公正な、正当な
 eradicate[動],根絶する、撲滅させる
 erosion[名],浸食（作用）、腐食（作用）
 erudite[形],学究的な、博識の
 esoteric[形],難解な、深遠な、秘儀の
 ethereal[形],霊妙な
 eugenics[名],優生学
 evaporate[動],蒸発する
 exacerbate[動],悪化させる、怒らせる
 excavation[名],掘削（した穴）
 excreta[名],排せつ物
 excrete[動],排せつする、分泌する
 excursion[名],遠足、小旅行
 excusable[形],許される、無理もない
 expiry[名],（契約や期限などの）終了、満了
 exploratory[形],調査の、探検の
 extort[動],強要する、無理強いする
 extrapolate[動],（既知の事柄から）推定する
 extrapolation[名],（既知事実からの）推定
 extraterrestrial[形],地球外の
 facade[名],（建物の）正面、外見
 fatherhood[名],父であること
 fault[名],断層
 feasible[形],実現（実行）可能な
 feces[名],フン
 ferment[動],発酵させる
 fig[名],イチジク、イチジクの木
 figural[形],人物像の、図形の
 flashy[形],派手な
 flawed[形],欠点がある
 flick[名],軽くひと打ちすること、（ピシッ）という音
 flimsy[形],薄くて軽い、薄っぺらの、壊れやすい
 flooded[形],浸水した
 floral[形],花の（ような）、植物群の
 fluctuate[動],上下する、変動する
 fluctuation[名],変動
 fluorescent[形],蛍光を発する、蛍光性の
 flux[名],流れ、流転、（金属を溶けやすくするために用いる）フラックス
 focal[形],焦点となる、中心的な、焦点の
 fodder[名],飼料、飼い葉
 fool[動],だます
 foresight[名],先見、将来への洞察
 form[名],（英）学年、学級
 frequent[動],頻繁に行く、よく出入りする
 freshwater[形],真水の、淡水の、淡水にすむ
 friction[名],摩擦、不和
 friction[名],不和、摩擦
 fugitive[名],逃亡者
 fungal[形],菌の、菌類の
 fungus[名],（キノコ、カビ、酵母などの）菌類
 funnel[名],じょうご
 fuse[動],融合させる
 futuristic[形],未来の
 galvanize[動],電気を通す
 garret[名],屋根裏部屋
 gear[動],適合させる、かみ合わせる
 genome[名],ゲノム
 germinate[動],芽を出す
 germination[名],発芽
 geyser[名],間欠泉
 gill[名],えら
 gimmick[名],巧妙な仕掛け、新機軸、からくり
 glossary[名],用語解説、用語辞典
 glossy[形],艶のある、光沢滑面の
 granite[名],花こう岩
 granular[形],粒状の
 grazing[名],放牧、牧草地、牧草
 greengrocer[名],八百屋さん
 grenade[名],手りゅう弾
 grossly[副],大いに、粗野に
 gullible[形],だまされやすい
 gymnastics[名],（特に器具を用いる）体操
 havoc[名],大混乱、大破壊
 herbal[形],薬草の、漢方の
 herdsman[名],牧夫、牧畜業者
 hibernation[名],冬眠
 hide[名],（牛・馬などの）皮、皮革
 hindsight[名],あとになっての判断
 hinterland[名],内陸地、奥地、後背地
 holistic[形],全体論の
 home-grown[形],自家製の、地元産の
 hygiene[名],衛生、衛生管理状態、清潔
 iceberg[名],氷山
 ignite[動],点火する
 illegible[形],（文字などが）読みにくい、判定できない
 illicit[形],違法な、不法な
 immobilize[動],（患部を）固定する、動けなくする
 immunization[名],免疫性を与えること、予防接種
 impede[動],妨げる、邪魔する
 impinge[動],影響を及ぼす、侵害する、衝突する
 impoverish[動],貧しくする、質を低下させる
 impracticable[形],（計画などが）実行不可能な
 Impressionist[名],印象派
 in-between[形],中間の、中間的な
 incarnation[名],一時期の姿、前世、化身、権化
 incidence[名],発生、発生率
 incineration[名],焼却、火葬
 inconclusive[形],決定的でない
indefinitely[副],無期限に、いつまでも
 indigenous[形],原産の、先住の
 individualistic[形],個人主義の、利己主義の
 inductive[形],帰納的な
 inequity[名],不公平、偏り
 inextricably[副],密接に、切り離せないほどに
 infamous[形],悪名高い、不名誉な
 inferential[形],推論（上）の、推論による
 inflammable[形],燃えやすい、引火性の
 inflammation[名],炎症、赤くはれること
 infringe[動],権利を侵害する、（法を）破る
 inhalation[名],吸入
 inhale[動],吸い込む、吸収する
 inhumanity[名],不人情、残酷さ
 instinctual[形],本能的な
 insuperable[形],克服できない、乗り越えられない
 intelligibility[名],分かりやすさ
 intending[形],将来の、なるつもりの
 interbreed[動],（異種）交配する
 intermodal[形],共同一貫輸送の
 interplay[名],相互作用
 interrogate[動],尋問する
 interstate[名],（州と州を結ぶ）幹線道路、インターステイト
 intolerant[形],不寛容な、狭量な
 inundate[動],殺到する、水浸しにする、氾濫する
 investigative[形],調査に携わる
 ion[名],イオン
 irrationally[副],理不尽に、不合理に
 irreparable[形],（損害、損傷などが）修復できない、取り返しのつかない
 irresistible[形],抵抗できない、抑えられない
 irrevocable[形],取り消せない、変更できない
 irrevocably[副],決定的に、改変できないほどに
 irrigate[動],水を引く、灌漑する
 irrigation[名],灌漑
 italic[名],イタリック体
 itinerary[名],旅行日程（表）
 jack[動],ジャッキで持ち上げる
 jostle[動],突く、押しやる、押し分けて進む
 jot[動],書き留めておく
 jumble[動],ごちゃ混ぜにする、混乱させる
 kelp[名],海藻、海藻灰
 kernel[名],粒、中心部
 kindle[動],火をつける、燃やす
 labor-saving[形],省力化の（ための）
 lament[動],嘆く、嘆き悲しむ、残念に思う
 larva[名],幼虫
 latently[副],潜在的に
 lava[名],溶岩
 law-abiding[形],遵法の
 leaver[名],（英）（中等学校の進学しない）卒業予定者
 leisurely[形],のんびりとした
 levy[動],徴収する、賦課する
 life-threatening[形],生命を脅かす
 lingua franca[名],（国際）共通語
 linguist[名],言語学者
 linguistics[名],言語学
 locality[名],地方、領域、場所
 locomotion[名],移動、運動
 loophole[名],抜け道、抜け穴
 loot[動],略奪する
 low-profile[形],控えめな、目立たない
 luckily[副],運良く
 maize[名],トウモロコシ
 malevolent[形],悪意のある、よこしまな
 mannerism[名],癖、型にはまった手法（作風）
 materialistic[形],物質主義の
 meager[形],乏しい、貧弱な、痩せた
 megacity[名],メガシティー、巨大都市
 mentor[名],恩師、良き指導者、教師
 mercury[名],水銀
 metabolism[名],新陳代謝、代謝作用
 metaphor[名],隠喩、暗喩
 meteorite[名],いん石
 meteorologist[名],気象学者
 meticulous[形],極めて注意深い
 millennia[名],数千年間
 mimic[動],まねる、物まねをする、再現する
 minimal[形],最小の、最小限度の
 miraculously[副],驚異的に、奇跡的に
 misconception[名],誤った考え、誤解、思い違い
 misinform[動],間違った情報を伝える
 mite[名],ダニ
 moisten[動],を湿らせる、潤す、少しぬらす
 mollusk[名],軟体動物
 monotonous[形],単調な、一本調子の
 moraine[名],氷堆石（氷河による堆石）
 muddle[動],混乱させる、ごちゃ混ぜにする
 multi-story[形],高い（高層）の
 mythology[名],神話学
 neural[形],神経（系）の
 neurologist[名],神経学者
 non-violent[形],非暴力の
 nuance[名],微妙な差異
 obnoxious[形],非常に不快な、嫌な、反抗的な
 obsolescence[名],退化、衰退、すたれること
 obtrusive[形],押し付けがましい、出しゃばりの
 offside[名],オフサイド、反則の位置、右側
 olfactory[形],嗅覚の
 onset[名],始まり、着手、（病気などの）兆候
 opt[動],選ぶ、決定する
 optical[形],視覚の、光学の
 optimization[名],最適化
 ore[名],鉱石
 orientate[動],を（～に）向ける、を適応させる
 orphanage[名],孤児院、児童養護施設
 outdo[動],に勝る、をしのぐ
 outermost[形],最も外側の
 outgrow[動],～よりも成長する
 outing[名],外出、お出かけ
 outnumber[動],〜に数で勝る
 outstrip[動],～に勝る、～を上回る、～を追い越す
 overconfidence[名],うぬぼれ、過信
 overhang[名],張り出し、突出部分
 overstretch[動],伸ばし過ぎる
 oxidise[動],酸化する
 Palaeolithic[形],旧石器時代の
 pane[名],窓ガラス
 pant[動],あえぐ、息を切らす
 paparazzi[名],パパラッチ、追っかけカメラマンたち
 paradigm[名],理論的枠組、パラダイム
 paralysis[名],まひ、停滞
 pediatrics[名],小児科（学）
 pedigree[名],家系、血筋、（動物の）血統
 pensioner[名],年金受給者
 perimeter[名],（図形の）周囲
 permafrost[名],（極地などの）永久凍土
 permanency[名],永続性、永久不変
 perpetrate[動],（犯罪などを）犯す
 perpetuate[動],永存させる
 persevere[動],ねばる
 pervasive[形],隅々に広がった、浸透する、充満する
 phantom[名],幽霊、お化け
 pharmaceutical[形],調剤の、薬剤の、薬学の
 phenomenal[形],驚異的な、並外れた
 phosphorus[名],リン
 photosynthesize[動],光合成する
 pie chart[名],円グラフ
 pigment[名],絵の具、色素
 pinnacle[名],頂上、頂点、最盛期
 pinpoint[動],（原因などを）正確に指摘する
 pioneering[形],先駆的な、先進的な
 piracy[名],海賊行為、著作権侵害
 plummet[動],（価格などが）急落する
 polar[形],極地の
 pollutant[名],汚染物質、汚染源
 polygon[名],多角形
 pore[動],熟読する、注意深く調べる
 positioning[名],測位、位置決め、位置調整
 postcode[名],(英）郵便番号
 posterity[名],子孫、後世の人々
 pounce[動],襲いかかる、飛びかかる
 precedent[名],先例、前例、判例
 preconception[名],先入観、偏見
 predate[動],（時間的に）～より前に起こる
 prefabricated[形],組み立て式の、プレハブの
 prefrontal[形],前頭葉の前部にある
 preservative[名],防腐剤、保存剤
 pretender[名],（～の）権利主張者、詐称者
 prioritize[動],優先させる
 pro[名],賛成意見、賛成票
 proactive[形],先手の、先を見越した
 prodigious[形],莫大な、巨大な
 proliferation[名],急増、拡散
 propagate[動],普及させる、伝達する、増殖させる
 propel[動],進ませる、推進する、前へ押し出す
 proprietary[形],所有者の、私有の、事業主の
 prospector[名],探鉱者
 provisional[形],仮の、暫定的な
 prowess[名],立派な腕前、優れた能力、武勇
 proxy[名],代わりとなるもの、代理
 pseudo-[形],（連結形）偽の、見せ掛けだけの
 pulley[名],滑車、ベルト車
 pulmonary[形],肺の、肺病の
 punch line[名],（冗談などの）聞かせどころ、落ち
 puncture[動],穴を開ける、パンクさせる
 quadruple[動],４倍になる
 quaint[形],古風な趣のある
 qualitative[形],（性）質上の、質的な
 quantify[動],数値で表す、量を計る
 quantitative[形],量の、量的な、計量できる
 quarry[名],採石場
 quibble[動],屁理屈を言う
 quote[名],提示価格、見積もり、引用
 ransom[名],身代金
 rationale[名],理論的根拠
 recapture[動],取り戻す、奪い返す
 reciprocal[形],相互の
 recline[動],もたれる、寄り掛かる
 recoil[動],たじろぐ、ひるむ
 redo[動],やり直す、修理し直す、改装する、作り替える
 regenerate[動],再建する、再生する
 rekindle[動],再びかき立てる、再燃させる
 relentless[形],無慈悲な、容赦ない、執拗な
reliant (on ～),依存した
 relic[名],遺跡、遺品、名残
 remains[名],遺跡
 remnant[名],残り、余り
 remuneration[名],報酬、給料
 rendition[名],（視覚）表現、描写、解釈、演奏
 renovation[名],改装
repetitive[形],繰り返しが多い、単調な
 replica[名],原作の写し、模写、複製
 replicate[動],複製する、模写する
 repute[名],評判、世評
 reroute[動],別のルートに変更する、新しいルートで送る
 reservoir[名],貯水池、貯蔵所
 residue[名],残り、残留物
 resin[名],樹脂、松やに
 resonance[名],反響、響き、余韻
 resound[動],鳴り響く、（名声などが）知れ渡る
 respondent[名],回答者
 resurface[動],再び現れる
 resurrect[動],復活させる、よみがえらせる
 retake[動],取り戻す
 reunification[名],再統合、再統一
 revere[動],崇敬する、あがめる
 rewarding[形],やりがいがある、満足感が得られる
 rig[動],装備する、支度する
 ring[名],組織、～団、一味
 rocket-propelled[形],ロケット推進式の
 rodent[名],（ネズミやウサギなどの）齧歯動物
 roster[名],名簿、登録簿、当番表
 rote[名],機械的記憶
 roundly[副],厳しく、完全に
 sabbatical[形],研究休暇の、安息（年）の
 sag[動],（重みで）たわむ、垂れ下がる
 saline[形],塩分を含んだ、塩辛い
 sanitizer[名],清浄薬
 saturate[動],満たす、飽和させる
 scaffold[名],（建築の）足場
 scallop[名],帆立貝
 scavenger[名],（ハゲタカなどの）腐肉を食べる動物、清掃動物
 sceptical[形],（英）懐疑的な、疑い深い
 scour[動],こすって磨く、ごしごし洗う
 scrutinize[動],綿密に調べる
 seasickness[名],船酔い
 self-contained[形],自給自足の
 self-evident[形],自明の
 self-fulfilling[形],自己達成の
 self-reliance[形],自立
 self-styled[形],自称の
 semi-arid[形],（気候が）半乾燥の
 sensationalist[形],人騒がせをする人、扇情主義者
 sentence[動],〜に判決を下す
 sequel[名],続編
 shed[名],小屋、物置
 short-sighted[形],近眼の、近視の
 shorthand[名],速記
 shortlist[名],最終的選抜候補者名簿
 shudder[名],身震い、戦慄
 signature[名],特徴、痕跡
 signature[形],特徴的な
 single-sex[形],（男または女の）どちらか一方の性だけの
 sizable[形],かなり大きな
 skepticism[名],疑い
 skew[動],をゆがめる、を斜めにする
 sleeveless[形],袖なしの
 slurp[動],音を立てて食べる（飲む）
 smear[動],塗り付ける
 smother[動],窒息させる、（事実などを）もみ消す、（火などを）覆って消す
 soap opera[名],（主婦を主なターゲットにした）連続メロドラマ
 solicitor[名],勧誘員、（米）（町・市・州の）法務官、（英）事務弁護士
 solidarity[名],連帯、団結
 spew[動],吐き出す、噴出する
 sporadic[形],散発的な、時々起こる
 sprawl[名],（不規則な）広がり
 squishy[形],柔らかい、つぶれやすい
 stagnate[動],よどむ、停滞する
 standby[形],予備の、待機中の、キャンセル待ちの
 statehood[名],国家としての地位
 steeply[副],急に、急角度で
 stereoscopic[形],立体的な、３次元的な
 sterling[名],英国通貨
 stink[動],悪臭がする、（ひどく）臭い
 stocky[形],ずんぐりした
 stratosphere[名],成層圏
 stutter[動],口ごもりながら話す、どもる
 subcontractor[名],下請け業者
 subduction[名],（プレートの）沈み込み
 sublime[形],崇高な
 submerge[動],沈む、沈める、浸す
 submerged[形],水中の、水面下の
 succinct[形],簡潔な、ずばりの
 succulent[形],果汁/肉汁の多い
 succumb[動],屈する、負ける
 suckle[動],乳を飲ませる、授乳する
 sufferance[名],忍耐（力）
 suffrage[名],選挙権、参政権
 sulfide[名],硫化物
 swivel[動],旋回する、回す
 symmetry[名],（左右）対称
 synthetic[形],合成された、合成の
 tailor[動],（ニーズや目的に合うように）合わせる、調整する
 tapered[形],先細の
 telescopic[形],伸縮自在の
 temperament[名],気質
 temporal[形],側頭部の
 tenacious[形],頑固な、頑強な
 tendon[名],腱
 terrain[名],地形、地勢、地域
theology[名],神学、宗教学
 therapeutic[形],治療の
 thwart[動],妨げる、邪魔する
 tightrope[名],綱渡りの綱、綱渡り状況
 tint[名],色合い、色調
 topographical[形],地形の、地勢上の
 topsoil[名],表土
 toxin[名],毒素
 tract[名],（海や空などの）広がり、（体内器官の）管
 transient[形],一時的な、つかの間の、その場限りの
 transit[名],輸送、運搬、通過
 transoceanic[形],大洋横断の
 trawler[名],トロール漁船
 treatise[名],（学術）論文
 tricycle[名],三輪車
 tripod[名],三脚
 tuition[名],授業料
 turbine[名],タービン
 turbulence[名],大荒れ、動乱、乱気流
 turnout[名],参加者数、来場者数、生産高
 turnover[名],総売上高、総取引高
 tweak[動],つねる、つまんでぐいと引く
 two-fold[形],2倍の
 typify[動],～の典型となる、代表例となる
 ultraviolet[動],紫外線の、紫外の
 unaccompanied[形],同伴者のない
 unadorned[形],装飾のない、質素な
 unaided[形],援助なしの、自力の
 unbiased[形],偏見のない、公平な
 unbiased[形],公平な、偏りのない
 uncanny[形],不可思議な、奇怪な
 uncharted[形],未知の、地図に載っていない
 underling[名],下っ端、下役
 underpin[動],支える、補強する
 underway[形],進行中の、運行中で
 unknowingly[副],知らないで
 unparalleled[形],並ぶものがない、無比の、前代未聞の
 unpromising[形],（成功などの）見込みがない
 unrewarded[形],報われない
 unscathed[形],無傷の、無事な
 unskilled[形],未熟練の、技術訓練を受けていない、熟練を要しない
 unsung[形],歌われていない、表に出ていない
 unsustainable[形],維持できない、持続できない、持続不可能な
 unwarranted[形],保証されていない、根拠を欠く
 unwell[形],よくない
 unyielding[形],不屈の、断固とした
 upbringing[名],（子供の）養育、しつけ
 uptake[名],理解力、のみ込み
 urbanization[名],都会化（現象）、都市化（現象）
 urine[名],尿
 usher[動],案内する
 vaccinate[動],予防接種をする
 variable[名],変数、変動要因
 varsity[名],大学の代表チーム
 vault[名],金庫室、地下納骨室、丸天井
 venomous[形],有毒な
 ventilate[動],換気する
 verbally[副],言葉で
 verdict[名],(陪審員の)評決、決定、判断
 verify[動],証明する、確認する、検証する
 vermin[名],害虫
 vernacular[形],（言葉が）地方固有の
 veterinarian[名],獣医
 veterinary[形],獣医の（に関する）
 viable[形],実現可能な、実行可能な、存続可能な
 voracious[形],貧欲な
 wag[動],振る、動かす、揺らす
 waterborne[形],水性の、水上の
 weak-willed[形],意志の弱い
 weathering[名],風化作用
 well-balanced[形],バランスのよい
 well-informed[形],情報通の
 well-rounded[形],多才な、包括的な、肉付きの良い
 wharf[名],埠頭
 wheelbarrow[名],（手押しの）一輪車
 whilst[接],～している間に、～だけれども
 window[名],（限られた）期間、時間帯
 windscreen[名],（英）（車の）フロントガラス、（米）風よけ
 womb[名],子宮
 wreak[動],（破壊などを）引き起こす
 wryly[副],皮肉っぽく
 zinc[名],亜鉛
