 abbreviate[動],（言葉などを）短縮する、省略する
 coddle[動],甘やかす
 cold-blooded[形],冷血の、変温の
 combustion[名],燃焼
 composure[名],落ち着き、平静
 condolence[名],弔意、悔やみ、哀悼の辞
 conduction[名],伝導
 conifer[名],球果植物、針葉樹
 conspicuous[形],人目を引く、目立つ
 contagious[形],接触伝染性の、伝染しやすい
 contingency[名],不測の事態、偶発事故
 convulsion[名],けいれん
 cosmology[名],宇宙論
 craftsman[名],職人、工芸家
 credence[名],信用、信頼
 credulous[形],だまされやすい
 crevice[名],(岩などの)割れ目
 cub[名],（肉食捕食動物の）子、幼獣
 cumulative[形],累積の、累積的な
 cure-all[名],万能薬
 deadlock[名],行き詰まり
 deceased[形],死んだ
 defame[動],中傷する
 deficient[形],（～が）欠けている
 degeneration[名],衰退
 delinquent[形],非行の、義務不履行の
 demographer[名],人口学者
 demystify[動],解明する、神秘性を取り除く
 dent[名],（衝撃を受けてできた小さな）へこみ
 deportation[名],（外国人の）国外退去、本国送還
 deposition[名],堆積作用、堆積物
 detest[動],嫌う
 devastating[形],悲惨な、壊滅的な
 dietary[形],食物の、食事療法の
 digestible[形],消化の
 digress[動],わき道にそれる
 discord[名],不一致
 discrete[形],別個の、別々の、不連続の
 disintegrate[動],崩壊する（させる）、分解する（させる）
 dismal[形],陰気な、憂うつな
 dissect[動],解剖する、切断する
 domesticated[形],（動植物が）家畜化された
 dragonfly[名],トンボ
 drizzle[名],霧雨
 eclipse[名],日食、月食
 ecosystem[名],生態系
 elasticity[名],弾力
 elated[動],大喜びの、大得意の
 elliptical[形],楕円の、長円の
 emancipate[動],～を解放する
 embryonic[形],胎児の、未発達の
 eminent[形],高名な、著名な
 engulf[動],飲み込む
 entice[動],誘惑する、おびき寄せる
 estuary[名],河口
 ethnology[名],民族学
 evade[動],避ける、逃れる
 excrete[動],排せつする、分泌する
 execution[名],死刑執行、処刑
 exodus[名],大移動、大量出国
 exoskeleton[名],（昆虫の）外骨格
 expiration[名],（契約期間などの）満了、満期
 extrovert[名],外向性の人
 eyepiece[名],接眼レンズ
 fauna[名],（ある地方、時代の）動物相
 fertilize[動],受精（受粉）させる、肥沃にする
 fervor[名],熱烈（さ）、熱心（さ）
 finished goods[名],完成品
 fir tree[名],モミの木
 fission[名],（核）分裂
 fissure[名],裂け目
 flammable[形],可燃性の
 flavoring[名],風味料、香料
 flint[名],火打ち石
 fluctuate[動],上下する、変動する
 fluorescent[形],蛍光を発する、蛍光性の
 foliage[名],木の葉
 foreknowledge[名],予知
 fortress[名],要塞、とりで
 fungi[名],菌類
 fungous[形],菌のような
 gale[名],疾風、大風
 geothermal[形],地熱の
 germinate[動],芽を出す
 gerontology[名],老人学
 gravitation[名],重力
 greasy[形],油っぽい
 greenback[名],米ドル紙幣
 grotesque[形],奇怪な、異様な、グロテスクな
 guild[名],ギルド(同業組合)
 havoc[名],大混乱、大破壊
 hectic[形],慌ただしい、大変忙しい
 hefty[形],多量の、非常に重い
 herbal[形],薬草の、漢方の
 heredity[名],遺伝
 heterogeneous[動],（異種）混成の、異成分から成る、不均質の
 hide[名],（牛・馬などの）皮、皮革
 hive[名],ミツバチの巣
 hobble[動],びっこをひく
 hoist[動],つり上げる、持ち上げる
 hummingbird[名],ハチドリ
 ice cap[名],氷河
 idiosyncrasy[名],特異性、独特な性癖
 illuminate[動],啓蒙する
 illusive[形],錯覚を起こさせる、幻想的な
 impeccable[形],非の打ち所の無い
 impetus[名],起動力、はずみ
 implement[名],道具、用具
 implicate[動],関係させる、巻き込む、含意する
 impressionistic[形],印象的な
 improvisation[名],即興
 incendiary[形],扇動的な、発火力のある
 incessantly[副],絶え間なく
 incite[動],鼓舞する、励ます、刺激する
 indict[動],告訴する、訴追する
 inept[形],技量に欠ける
 inert[形],不活性の、不活発な
 infinitesimal[形],微小の
 infrared rays[名],赤外線
 infringe[動],権利を侵害する、（法を）破る
 innovate[動],導入する、革新する
 inoculation[名],（予防）接種
 inordinate[形],過度の
 insecticide[名],殺虫剤
 insinuation[名],ほのめかし
 instinctual[形],本能的な
 interdependent[形],互いに依存する
 intermittently[副],断続的に、間欠的に
 interracial[形],異人種間の
 interstate[名],（州と州を結ぶ）幹線道路、インターステイト
 intertwine[動],を（～と）組み合わせる
 intolerant[形],不寛容な、狭量な
 intrusive[形],でしゃばりの、押しつけがましい
 inventory[名],在庫、在庫目録
 invertebrate[名],無脊椎(むせきつい)動物
 invoke[動],生じさせる、呼び覚ます
 irrational[形],不合理な、筋の通らない
 itinerary[名],旅行日程（表）
 jaundice[名],黄疸
 jeopardy[名],危険、危険にさらされること
 judicious[形],思慮分別のある、賢明な
 juggling[名],手玉の曲芸
 jurisdiction[名],司法権、裁判権、管轄
 kindle[動],火をつける、燃やす
 kinetic energy[名],運動エネルギー
 landslide[名],地すべり
 latent[形],潜伏期の、潜在的な
 leach[動],こしとる
 leukemia[名],白血病
 level[動],壊す
 liaison[名],（組織間の）連絡、連絡係
 lichen[名],地衣類
 linguist[名],言語学者
 liquify[動],液体化する
 livestock farming[名],牧畜（業）
 longitude[名],経度
 lubricate[動],滑らかにする、潤滑油を差す
 lull[名],一時休止、小康状態
 lumber[動],のしのし歩く
 magnifying glass[名],虫眼鏡
 malign[動],中傷する、害を及ぼす
 malleability[名],可鍛(かたん)性
 mammoth[名],マンモス（巨像）
 maneuver[名],操作、操縦、作戦行動、策略
 manor[名],荘園
 marijuana[名],マリファナ
 Mars[名],火星
 masonry[名],石造物、石工術
 mating season[名],繁殖期、交尾期
 matrix[名],（数学の）行列、マトリックス
 meager[形],乏しい、貧弱な、痩せた
 Mercury[名],水星
 metalloid[名],半金属
 metamorphosis[名],変態
 meteorite[名],いん石
 meteorology[名],気象学
 methodical[形],秩序だった、（人が）きちんとした
 microeconomics[名],ミクロ経済学
 microorganism[名],微生物
 microscopic[形],微細な、非常に小さな
 milestone[名],道しるべ、画期的事件、節目
 militarism[名],軍国主義
 mitosis[名],有糸分裂(間接核分裂)
 modulate[動],調整する
 molecular[形],分子の
 monumental[形],途方もない、不朽の、記念碑的な
 motorize[動],自動車化する
 mountain lion[名],アメリカライオン、ピューマ、クーガー
 multicellular[形],多細胞の
 mutant[形],突然変異による
 mutation[名],突然変異
 naturalistic[形],自然の
 nautical[形],航海の、船員の
 nectar[名],（植物の）蜜
 Neolithic[名],新石器時代
 nerves[名],神経過敏
 neuron[名],ニューロン
 neurosis[名],神経症(ノイローゼ)
 nomadic[形],遊牧（民）の、放浪の
 nuclear physics[名],原子(核)物理学
 numb[形],かじかんだ、まひした、ぼうぜんとした
 odious[形],嫌気の指すような
 oncoming[形],近づいてくる
 onset[名],始まり、着手、（病気などの）兆候
 optics[名],光学
 ordinal number[名],序数
 ordinance[名],法令、布告
 ornate[形],装飾された、華麗な
 outer ear[名],外耳
 outermost[形],最も外側の
 overpowering[形],抗し難い
 panorama[名],全景、パノラマ
 parasite[名],寄生虫、寄生動物
 patriotism[名],愛国心
 percussion[名],打楽器
 peripheral[形],周辺部の、周囲の、重要でない
 periphery[名],周辺部、外周
 perspiration[名],発汗
 pervasive[形],隅々に広がった、浸透する、充満する
 Ph. D.[名],博士号
 philanthropist[名],博愛主義者、慈善家
 phobia[名],恐怖症、病的恐怖（嫌悪）
 phonograph[名],蓄音機
 phyla[名],門
 playing card[名],トランプ
 plentitude[名],十分、豊富
 pliable[形],曲げやすい、柔軟な、適応性のある
 pollen[名],花粉
 polygamy[名],複婚制
 porcelain[名],磁器、磁器製品
 potential energy[名],位置エネルギー
 potter[名],陶工、陶芸家
 practicable[形],実行可能な、実用的な
 precipitate[動],引き起こす、促進する
 precipitation[名],降水、降水量
 predicament[名],苦境、窮地
 predominate[動],優位を占める、圧倒的に多い
 prelude[名],前触れ、前奏曲
 pretension[名],気取り、見せかけ
 primordial[形],原始時代からの
 product[名],積
 profusion[名],豊富
 proliferation[名],急増、拡散
 propagate[動],普及させる、伝達する、増殖させる
 propel[動],進ませる、推進する、前へ押し出す
 prostitution[名],売春
 proton[名],陽子
 prototypical[形],初期の
 pseudopod[名],偽足
 psychiatry[名],精神医学
 puddle[名],水たまり
 punishable[形],罰し得る、罰すべき
 purchasing power[名],購買力
 purify[動],浄化する
 quartz[名],石英
 rebut[動],反論する
 recur[動],繰り返される
 reef[名],（岩や砂の）礁
 relevancy[名],関連、適合性
 remit[動],送金する
 remittance[名],送金、送金額
 rendition[名],（視覚）表現、描写、解釈、演奏
 renounce[動],（権利を）放棄する
 repeal[動],（法律等を）取り消す、廃止する
 repeal[名],(法律などの)破棄
 replenish[動],補給する、補充する
 replica[名],原作の写し、模写、複製
 Republican[名],共和党員
 resin[名],樹脂、松やに
 rigidity[名],堅さ
 rigor[名],厳しさ、過酷さ、厳密さ
 roadside[名],道端
 rodent[名],（ネズミやウサギなどの）齧歯動物
 roost[名],ねぐら、止まり木
 rowdy[形],騒々しい
 rudimentary[形],基本的な、初歩的な、原始的な
 runoff[名],(流出する)雨水、同点決勝戦、決選投票
 salient[形],目立った、顕著な
 salivary[形],唾(だ)液の
 satirical[形],風刺的な、皮肉な
 scaffold[名],（建築の）足場
 schizophrenia[名],統合失調症
 scrutiny[名],綿密な調査、精査、監視、じろじろと見ること
 scurvy[名],壊血病
 sea anemone[名],イソギンチャク
 sediment[名],堆積物、沈殿物
 setback[名],妨げ、逆転、後退
 shooting star[名],流れ星
 short sight[名],近視
 shorthand[名],速記
 shorthanded[形],手不足の
 shudder[動],身震いする
 slate[名],粘板岩、石板
 sluggish[形],のろい、緩慢な、活気のない
 sly[形],悪賢い
 snowflake[名],雪片
 soaked[形],（雨などで）びしょ濡れの
 sodium[名],ナトリウム
 soluble[形],溶解できる、可溶性の
 solution[名],溶液
 somber[形],薄暗い、陰気な
 sordid[形],卑劣な、下品な
 soybean[名],大豆
 speck[名],小片、ちり
 spherical[形],球状の
 spinal[形],脊椎の
 spire[名],尖塔
 spirited[形],活気に満ちた
 sporting[形],正々堂々とした
 squid[名],イカ
 squirt[動],噴出する
 stately[形],威厳ある
 steam engine[名],蒸気エンジン
 stellar[形],星の、星のような
 stepfather[名],継父
 stipulate[動],明記する、規定する、要求する
 stockpile[動],備蓄する
 strain[名],菌株
 strait[名],海峡
 strata[名],地層
 stratification[名],階層化
 streamflow[名],流量
 stunt[動],発育が妨げられる
 stunt[名],離れ技、妙技、目立つ行為、スタント
 subsistence[名],生存、必要最低限の生活
 sundial[名],日時計
 superconductor[名],超伝導体
 superfluous[形],余分な
 supplementary[形],追加の、補充的な
 surgical[形],外科の
 swampy[形],沼地の
 syncopation[名],シンコペーション
 synthetically[副],合成して
 tactful[形],機転の利く
 tangible[形],有形の、触れることのできる、目に見える、明らかな
 taper[動],先細になる、先細にする
 tarnish[動],表面が曇る、色あせる、(評判・名声などを)傷つける
 tenet[名],主義、教義
 terrain[名],地形、地勢、地域
 theocracy[名],神権政治
 three-dimensionally[副],三次元（的）に
 tidal wave[名],津波、高潮
 tractable[形],扱いやすい、従順な
 transcend[動],越える、超越する
 transfusion[名],輸血
 treadmill[名],ランニングマシーン、単調な仕事
 treatise[名],（学術）論文
 tree sap[名],樹液
 troupe[名],（劇などの）一座
 turnip[名],【植】 カブ
 two-fold[形],2倍の
 ultraviolet rays[名],紫外線
 ultraviolet[名],紫外線
 Uncle Sam[名],アンクル・サム（米国政府を擬人化した呼称）
 underlie[動],～の基礎をなす、～の根底にある
 underside[名],下側
 unwind[動],くつろぐ、緊張をほぐす、（巻いたものが）ほどく
 urbane[形],洗練された、都会風の、あか抜けした
 vestige[名],痕跡、名残
 viable[形],実現可能な、実行可能な、存続可能な
 vibrantly[副],鮮やかに
 vigilance[名],警戒
 virtuoso[名],巨匠
 vogue[名],流行、はやり
 volition[名],意志
 webby[形],クモの巣のような
 wetlands[名],湿原、湿地
 whipped[形],ホイップした
 white blood cell[名],白血球
 wiggle[動],(くねくね)小刻みに動く
 would-be[形],～になるつもりの
 wrestle[動],取り組む、戦う、レスリングをする
 X-ray[名],エックス線
 yarn[名],紡ぎ糸
