abandon[動],断念する、捨てる、見捨てる
 convenient[形],便利な
 conversely[副],逆に
 cooperate[動],協力する
 cost[動],（お金、労力などが）かかる
 costly[形],高価な、値段のはる
 crack[名],割れ目、ひび
 credit[名],貸付、つけ
 creep[動],忍び込む、這う、這って進む
 crucial[形],重要な、決定的な
 cure[名],解決策、救済（法）、治療（法）
 currency[名],通貨
 customs[名],税関
 debate[名],議論、討論、論争
 decade[名],10年、10年間
 defeat[動],負かす、打ち破る
 delighted[形],喜んで、喜んだ、大いに喜んで
 deposit[動],預金する、預ける、保管する、堆積させる
 depress[動],憂鬱にさせる
 detail[名],細部、詳細
 detect[動],見つける、検出する、発見する
 devote[動],（金、時間、労力を）ささげる
 dignity[名],尊厳、威厳
disappointing[形],期待外れの、がっかりさせるような
 distribute[動],配る、配布する
 documentary[名],ドキュメンタリー
 dormitory[名],寮
 downtown[名],商業地区、繁華街
 drag[動],引きずる、のろのろと動く
 eager[形],熱望して、熱心な
 ease[名],楽、安楽、容易さ
 economics[名],経済学
 eliminate[動],除去する、削除する
 elsewhere[副],他のところで
 embarrassed[形],ばつの悪い、当惑した、恥ずかしい
 enforce[動],（法律などを）施行する
 engage[動],～を従事させる
 entitle[動],権利/資格を与える
 envelope[名],封筒
 envy[動],羨ましく思う
 equipment[名],装備、機器、設備
 establishment[名],設立
 estate[名],財産、地所
 ethnic[形],民族の、人種の
 evaluate[動],評価する、査定する
 evil[形],邪悪な、悪質な
 evolution[名],進化、発展
 executive[名],重役、役員
 exhausted[形],疲れ果てた、使い尽くされた
 explode[動],爆発する、破裂する
 extension[名],内線、延長
 extensive[形],広範囲にわたる
 extensively[副],広く
 extremely[副],極めて、極度に
 fable[名],寓話
 faith[名],信頼、信仰、信念
 faithful[形],忠実な、誠実な
 fame[名],名声
 famine[名],飢饉
 fascinating[形],魅力的な、うっとりさせる
 faucet[名],水道の栓
 fault[名],（過失の）責任、過ち
 federal[形],連邦の、連邦政府の
 fitness[名],健康、適合
 fluently[副],流ちょうに、ペラペラと
 following[前],～に続いて、～の後に
 following[名],（theをつけて）次に述べること、下記のもの
 forecast[名],予報、予想、予測
 forgive[動],許す、勘弁する
 form[名],（定型の）用紙、書式
 founder[名],創設者、創立者
 fragile[形],壊れやすい、もろい
 freeway[名],高速道路
 freeze[動],凍る、動かなくなる
 fulfill[動],（要求、目的などを）満たす、かなえる
 funding[名],財政的支援
 further[副],さらに、もっと遠くに、far の比較級
 gambling[名],かけ事
 governor[名],知事、総督
 grocery[名],食料品、雑貨
 handle[動],扱う、処理する
 handwriting[名],（手書きの）字
 harmful[形],有害な、害を及ぼす
 harvest[名],収穫（物）、収穫高
 highlight[動],強調する、目立たせる
 hold[動],持ちこたえる、維持する、持続する
 hollow[形],空洞の、くぼんだ、空虚な、うわべだけの、内容のない
 honor[動],名誉を与える、尊敬する、（契約などを）守る
 honor[名],栄誉、名誉
 horror[名],恐怖、恐ろしさ
 household[名],世帯、家庭
 housekeeping[名],家事、家政
 imagination[名],空想、想像力
 immense[形],巨大な、非常に大きな
 impatiently[副],いらいらして、我慢できずに
 impose[動],課す、押しつける
 impress[動],感銘を与える、感動させる
 impressive[形],印象的な
 incident[名],（偶発的）事故、事件
 incredible[形],驚異的な、信じがたい
 individually[副],個々に、個別に
 inevitable[形],不可避の、必然的な
 infection[名],感染、感染症
 inferior[形],より劣った、下位の、下級の
 influential[形],影響力の大きい、影響力のある
 informal[形],形式ばらない、略式の、非公式の
 ingredient[名],成分、原料、構成要素
 inhabit[動],～に住んでいる、生息する
 initial[形],最初の、初期の
 insect[名],昆虫
 inspect[動],調査する、検査する
 insure[動],保険をかける、保証する、確実にする
 intelligent[形],聡明な、知能の高い
 intense[形],強烈な
 interact[動],影響し合う、相互作用する、交流する
 investigate[動],調査する、研究する
 irregular[形],不規則な、不正規の
 issue[名],論点、問題
 item[名],品目、項目、品物
 jail[名],刑務所、拘置所
 jaw[名],顎、下顎
 jealous[形],嫉妬深い、ねたんで
 jury[名],陪審、陪審団
kindness[名],親切心、優しさ
 landscape[名],景色、展望、景観
 late[形],後半の、後期の
 launch[名],開始、発売
 layer[名],層
 leak[動],漏れる
 lease[動],リースする、賃借（賃貸）する
 leftover[名],（食べ物などの）残り物
 liberty[名],自由、解放
 literary[形],文学の、文学的な
 located[形],位置して
 long-term[形],長期の、長期間の
 magnificent[形],壮大な、見事な
 manually[副],手で、手動で
 manufacturer[名],製造会社、メーカー
 maximum[名],最大限
 mayor[名],市長、町長
 measure[名],対策、手段、処置
 melt[動],溶ける、溶かす、融解する
 merchandise[名],商品
 mine[名],鉱山
 monetary[形],金融の、金銭上の
 mosquito[名],蚊
 motivate[動],動機を与える、刺激する
 movement[名],（政治的、社会的）運動
 name[動],指名（任命）する
 nature[名],特質、性質、自然
 needle[名],針
 niece[名],姪
 noble[形],高貴な、崇高な、
 nutritious[形],栄養のある
 nylon[名],ナイロン
 online[副],オンラインで、インターネットで
 opponent[名],（試合、論争などの）相手、反対者、反対派
 opposed[形],対立した
 outcome[名],結果、結末
 outstanding[形],極めて優れた、際立った
 overhead[形],頭上の
 overseas[副],海外で、外国で
 overwhelm[動],圧倒する、打ちのめす
 participant[名],参加者、出場者
 participate[動],参加する
 partnership[名],提携
 passive[形],受動的な
 pastime[名],娯楽、気晴らし、余暇の楽しみ
 peculiar[形],特有の、奇妙な
 peninsula[名],半島
 perceive[動],理解する、把握する、知覚する
 perception[名],知覚、認知、認識
 personality[名],人柄、性格、人格
 pile[動],積み重なる、山積する
 pipeline[名],輸送官、パイプライン
 plant[名],設備、工場
 politician[名],政治家
 pop[形],ポピュラーな、大衆向きの
 portrait[名],肖像（画）、ポートレート
 post[動],掲示する、（郵便を）投函する
 pour[動],注ぐ、（液体を）つぐ
 precede[動],（～に）先行する
 precise[形],正確な、的確な
 predict[動],予測する、予言する
 prefecture[名],県、府
 price[動],～に値をつける
 Prime Minister[名],首相、総理大臣
 primitive[形],原始的な、初期段階の、未開の
 privacy[名],人目を避けること、プライバシー
 procedure[名],手続き、手順
 proceed[動],進む、続行する
 professionalism[名],プロ意識、専門的技術
 proficient[形],堪能な、熟達した
 promote[動],促進する、昇進させる
 promotion[名],昇進、宣伝
 properly[副],適切に
 property[名],資産、財産、不動産
 prosperity[名],繁栄、成功
 protective[形],防護用の、保護の
 protein[名],たんぱく質
 provider[名],供給する人、プロバイダー
 publication[名],出版、公表、出版物
 purchase[動],購入する
 rage[名],怒り、激怒
 random[形],無作為の、偶発的な、確率の
 rank[名],地位、順位、等級
 react[動],反応する、反抗する
 rebel[名],反逆者、反抗者
 recall[動],思い出す
 receipt[名],レシート、領収書、受領（書）
 recipe[名],調理法、レシピ、秘けつ
 recruit[名],新人、新入生、新入社員
 reference[名],言及、照会、参照、参考書
 refrain[動],差し控える
 regularly[副],定期的に、規則正しく
 regulate[動],調整する、調節する、規制する
 reluctant[形],乗り気でない、渋っている、気が進まない
 repeatedly[副],繰り返して、何度も
 reputation[名],評判
 resemble[動],～に似ている
 resent[動],憤慨する
 reservation[名],予約
 residence[名],住居、住宅
 result[動],生じる、結果となる
 retain[動],維持する、保つ
 revolutionary[形],画期的な、革命の
 ridiculous[形],ばかばかしい、愚かな
 ripe[形],熟した
 routine[名],決められた動作（方法）、（習慣的に）繰り返されるもの、日課
 ruin[動],破滅させる、台無しにする
 run[動],（会社などを）経営する
 salon[名],（服飾・美容などの）店
 satisfactorily[副],満足に
 saw[名],のこぎり
 scold[動],叱る
 sculpture[名],彫刻
 senator[名],上院議員
 sequence[名],一連（のもの）、連続
 session[名],（会議、活動の）期間、集まり、会合
 sew[動],縫う
 ship[動],輸送する、発送する、出荷する
 shoelace[名],靴ひも
 significantly[副],かなり、はっきりと
 slip[名],紙片
 snack[名],おやつ、軽食、スナック
 sneeze[動],くしゃみをする
 sob[動],すすり泣く
 solution[名],解決、解決策
 solve[動],解決する、（問題などを）解く
 somewhat[副],多少、いくぶん
 sophisticated[形],洗練された、教養のある、(機械などが)高性能な
 species[名],（生物の）種
 spectacular[形],壮観な、見事な、見ごたえのある
 spoil[動],害する、台無しにする
 sponsor[名],スポンサー、保証人、後援者
 stare[動],じっと見る
 stem[動],～から生じる、～に由来する
 stimulate[動],刺激する
 stock[名],株式
 story[名],階
 strategy[名],戦略
 strengthen[動],強める、強化する、強固にする
 striking[形],著しい、際立った
 stumble[動],つまずく、よろける
 subsequently[副],その後、後に、続いて
 succession[名],継承、相続
 sufficient[形],十分な
 suicide[名],自殺
 surplus[名],余剰、黒字
 surrender[動],降伏する、譲り渡す
 swallow[動],飲み込む
 sweat[名],汗
 swell[動],膨張する、腫れる、（数量が）増大する
 talent[名],才能、素質、才能のある人、タレント
 tasteful[形],味のよい、上品な、趣きのある
 tax-free[形],非課税の
 terrible[形],ひどい、恐ろしい
 thankful[形],（～に）感謝して、ありがたく思って
 theme[名],主題、テーマ
 therapy[名],療法、セラピー
 tighten[動],締める、きつくする、厳しくする
 time[名],（歴史上の）時代（主に～s）
 tractor[名],農業用トラクター、トラック（荷台を牽引するタイプ）
 translator[名],翻訳家
 transmit[動],伝える、知らせる、送信する
 trendy[形],流行の
 tropical[形],熱帯の
 ultimately[副],最終的に、結局は
 uncertain[形],不確かな
 undertake[動],引き受ける、請け負う、着手する
 unexpected[形],思いがけない、予期しない、意外な
 union[名],（労働）組合
 unlimited[形],限りない、無制限の
 unusual[形],珍しい、普通でない
 unwise[形],ばかげた、愚かな
 upset[形],うろたえた、動揺した、憤慨した
 upward[副],上の方へ
 urban[形],都市の、都会の
 vacant[形],空いている、使われていない
 violate[動],違反する
 visible[形],目に見える、明らかな
 weigh[動],重さを量る
 welfare[名],福祉、福利厚生、幸福
 whisper[動],ささやく
 white-collar[形],オフィス労働の
 wicked[形],邪悪な、意地の悪い、不道徳な
 worship[動],崇拝する
 wounded[形],（武器、凶器で）負傷した
