 or ～[接],すなわち（言い換えれば）～
 dump[動],（ごみなど）をまとめて捨てる
 dusty[形],ほこりまみれの、ほこりで汚れた
 eagerly[副],熱心に、熱望して
 earth[名],地球、土
 easily[副],容易に、たやすく、簡単に
 economically[副],経済的に
 education[名],教育
 educational[形],教育の
 efficiency[名],能率、有能さ
 efficient[形],効率的な、効率のよい
 effort[名],努力、尽力
 elaborate[形],手の込んだ、入念な
 elect[動],選ぶ、選出する
 electricity[名],電気
 elite[名],エリート
 eloquent[形],雄弁な、説得力のある
 emerge[動],現れる、出現する、生まれる
 emotional[形],感情の、感情に関する、感情的な
 employment[名],雇用
 enclosed[形],囲いのある、同封された
 encounter[動],遭遇する
 energetic[形],精力的な、エネルギッシュな
 enforce[動],（法律などを）施行する
 engineering[名],工学
 enormous[形],巨大な、莫大な
 enterprise[名],企業、事業
 entrance[名],入口、入場、入学
 environmental[形],環境の
 essence[名],本質、エッセンス
 essentially[副],本質的に
 eventual[形],究極の、最後の
 ever[副],いままでに、かつて、ずっと
 exact[形],正確な、ぴったりの
 exactly[副],ちょうど、きっかり、正確に
 excitement[名],興奮、騒ぎ
 exclude[動],除外する、締め出す
 exhaust[動],疲れはてさせる、使い果たす
 exit[名],出口、出ること
 experienced[形],経験豊富な
 experiment[名],実験
 expose[動],さらす、暴露する
 exposure[名],（自然環境や危険に）さらされていること
 express[動],（考えなどを）表す、表現する
 expressive[形],表現（表情）に富む
 extra[形],余分な、追加の
 extraordinary[形],並はずれた
 faculty[名],能力、機能
 fade[動],薄れる、（徐々に）消えていく
 fail[動],（試験に）落ちる、失敗する、故障する、（企業などが）倒産する
 failure[名],失敗、故障
 fairly[副],かなり、相当（に）
 false[形],誤った、事実に反する、偽の
 familiar[形],なじんだ、見慣れた、よく知られた
 famine[名],飢饉
 fantasy[名],空想、幻想
 fascinating[形],魅力的な、うっとりさせる
 faucet[名],水道の栓
 fear[名],怯え、恐怖、不安
 feature[動],出演させる、呼び物にする、売り物にする、特集する
 feature[名],特徴、特色、特集
 fee[名],（受験、申請などの）料金、報酬
 feedback[名],反応、参考意見、フィードバック
 female[名],女性、雌
 fence[名],フェンス、柵
 ferry[名],フェリー
 fetch[動],取ってくる
 few[形],ほとんどない、わずかしかない、少数の
 fiction[名],小説、作り話、フィクション
 fifty-fifty[形],（可能性などが）五分五分の
 fill[動],満たす、いっぱいにする、うめる、（処方薬を）調合する
 film[名],映画、フィルム
 financial[形],財政の、財政上の
 finding[名],発見、調査結果
 fist[名],握りこぶし
 flash[動],ぴかっと光る、ぱっと照らす、点滅する
 flatten[動],を平らにする（延ばす）
 flea market[名],フリーマーケット
 flood[名],洪水、氾濫
 flourishing[形],繁栄している
 flu[名],（the -）インフルエンザ
 folk[名],民衆、人々
 force[動],強いる、強制する
 forecast[名],予報、予想、予測
 forecasting[名],予報、予測
 forehead[名],額
 forgive[動],許す、勘弁する
 form[動],組織する、形づくる、形を成す、生じる
 form[名],（定型の）用紙、書式
 formally[副],正式に、フォーマルに
 formerly[副],以前は、かつては
 fortunate[形],運のいい、幸運な
 fortunately[副],幸いにも、運のいいことに
 founder[名],創設者、創立者
 frame[名],枠、フレーム
 frightening[形],恐ろしい、ぎょっとするような
 frustration[名],欲求不満
 fry[動],油で揚げる
 function[名],機能
 funding[名],財政的支援
 funeral[名],葬式、葬儀
 furnish[動],（部屋などに）家具を備え付ける
 further[形],さらなる、追加的な、さらに遠い、far の比較級
 gain[動],獲得する、得る、～が増える
 gallery[名],美術館、画廊
 garage[名],車庫、ガレージ、自動車修理工場
 gathering[名],集まり、集会、群集
 gene[名],遺伝子
 general[形],一般的な、全般的な
 gift[名],（天賦の）才能
 gradually[副],徐々に、だんだんと、少しずつ
 grammatical[形],文法の、文法的に正しい
 grandma[名],おばあちゃん
 Greek[形],ギリシャの
 greet[動],あいさつする、出迎える
 ground floor[名],1階
 group[動],集団になる、群れを成す
 guide[名],ガイド、案内人、案内書、手引き書
 guilty[形],有罪の、罪の意識がある
 guy[名],男、やつ
 hail[名],あられ、ひょう
 halfway[副],中間点で　途中で
 handwriting[名],（手書きの）字
 harmful[形],有害な、害を及ぼす
 harvest[名],収穫（物）、収穫高
 head[動],向かう
 heading[名],見出し、表題、題目
 headline[名],（新聞などの）見出し
 heart[名],心臓、心、気持ち
 heat[名],熱、熱源、火力、（香辛料の）からさ
 hell[名],地獄、地獄のような場所
 heritage[名],伝統、遺産
 high-speed[形],高速の、高速度の、素早い
 highland[名],高地地方
 highly[副],非常に、高度に、大いに
 hire[動],雇う
 historic[形],歴史的な
 historical[形],歴史の（に関する）
 honestly[副],正直に、公正に
 honesty[名],正直、誠実、率直
 honor[名],栄誉、名誉
 household[名],世帯、家庭
 household[形],家庭の、家族の
 housework[名],家事
 housing[名],住居建設、住宅
 hum[動],ハミングする、ブンブン音を立てる
 humanity[名],人類、人間、人間性
 humankind[名],人類、人間
 humorous[形],ひょうきんな、こっけいな
 identify[動],（身元などを）特定する、識別する
 illustrate[動],例証する、図解する
 immediate[形],即座の、即時の、直接の
 immigration[名],（外国からの）移住、入国（者）、移民、入国審査
 imperial[形],帝国の、天皇（皇帝）の
 import[動],輸入する
 importance[名],重要性、重大さ
 impose[動],課す、押しつける
 impress[動],感銘を与える、感動させる
 improve[動],改善する、上達する、向上する/させる
 improvement[名],改良、改善
 increase[名],増加
 incredible[形],驚異的な、信じがたい
 Indian[形],インドの、アメリカインディアンの
 individual[名],個人
 inequality[名],不平等、不均衡
 infect[動],病気をうつす、感染させる
 inflation[名],インフレ、通貨膨張、膨張
 influence[動],影響を与える
 information[名],情報
 inhabitant[名],住民、居住者、棲息動物
 inherit[動],受け継ぐ、相続する
 initial[形],最初の、初期の
 initially[副],初めは、第一に
 injury[名],怪我
 inn[名],宿屋、小さな旅館、酒場、パブ
 innovation[名],新しい手法、革新
 innovator[名],革新者
 insider[名],（組織などの）内部の人間、会員
 inspire[動],鼓舞する、感激させる、駆り立てる
 instinct[名],本能、直感
 instruct[動],指示する、教える
insufficient[形],不十分な、不足な、不適当な
 intense[形],強烈な
 interact[動],影響し合う、相互作用する、交流する
 interaction[名],相互作用、（人と人の）交流
 interruption[名],邪魔、妨害、中断
 invention[名],発明、考案、発明品
 invite[動],招待する、招く
 iron[形],鉄の、鉄のような
 jam[名],渋滞
 jealous[形],嫉妬深い、ねたんで
 journal[名],日誌、専門誌
 journalism[名],ジャーナリズム、報道
 judge[動],判断する、判定を下す
 kit[名],道具一式、用具一そろい
 kitten[名],子猫
 knowledge[名],知識
 landing[名],着陸、上陸
 late[形],後半の、後期の
 Latin[形],ラテンの
 latter[名],後者
 laughter[名],笑い、笑い声
 lawyer[名],法律家、弁護士
 lazy[形],怠惰な
 leading[形],首位の、一流の、主要な
 leak[動],漏れる
 lease[動],リースする、賃借（賃貸）する
 lease[名],賃貸借契約
 leave[動],残す、置き忘れる、そのままにしておく
 left[動],leaveの過去・過去分詞
 legal[形],法律の、合法な
 like[前],～のように、～のような
 limitation[名],制限
 liter[名],リットル
 living[名],生活、生計
 load[動],～に積み込む、（コンピュータープログラムを）読み込む
 log[名],丸太
 logical[形],論理的な、筋の通った
 lost[動],lose の過去・過去分詞
 lost[形],道に迷った
 loud[形],大声の
 lover[名],恋人、（芸術などの）愛好者
 magical[形],魔術の
 magnificent[形],壮大な、見事な
 main[形],主な、主要な
 male[名],男性、雄
 manual[形],体を使う、手動の、手作業の
 march[動],行進する、進軍する
 market[名],市場、マーケット
 marriage[名],結婚
 marvelous[形],驚くべき、素晴らしい
 master[動],（技能などを）習得する
 masterpiece[名],傑作、代表作
 mate[名],配偶者、仲間、相棒
 mathematician[名],数学者
 maximum[名],最大限
 mayor[名],市長、町長
 meaning[名],意味
 means[名],手段、方法
 measurable[形],目につく（ほどの）、はっきりと分かる
 measure[名],対策、手段、処置
 medical[形],医学の、医療の
 mention[動],述べる、話に出す
 merchant[名],商人
 mile[名],マイル
 mining[名],採掘
 minor[形],小さい、少ない、重要でない
 minute[形],小さい、詳細な、微細な
 mirror[動],（鏡のように）～を映す、～を反射する、～を正確に映し出す
 miss[動],～が（い）なくてさびしい
 missing[形],行方不明の、欠けている、不足している
 mist[名],霧、もや、かすみ
 misunderstanding[名],誤解
 mobile[形],可動（移動）式の、流動的な
 model[形],模型の、模範的な
 moderate[形],並みの、中庸な、適度な
 modern-day[形],現代の、今日の
 monitor[名],監視装置、監視担当、画面
 mood[名],気分、雰囲気
 mostly[副],主に、大部分は
 motorcycle[名],オートバイ
 movement[名],（政治的、社会的）運動
 murmur[動],つぶやく
 mysterious[形],不可解な、不思議な
 naive[形],素朴な、愚直な、単純な、お人好しな、世間知らずの
 name[動],名前を付ける　
 narration[名],ナレーション、叙述、話法
 native[形],故郷の、原産の、特有の、生まれつきの、生来の
 nature[名],特質、性質、自然
 nearby[形],近くの、隣接の
 neatly[副],きちんと
 necessarily[副],必然的に、必ず
 needle[名],針
 neglect[動],無視する、おろそかにする
 negotiate[動],交渉する
 neutral[形],中立の
 nicely[副],立派に、うまく
 niece[名],姪
 nightmare[名],悪夢
 note[動],書き留める、言及する、注意する、気付く
 notice[動],気付く
novel[名],小説
 nuclear[形],核の、原子力の
 numerous[形],数多くの
 observation[名],観察、観測、監視
 occasion[名],機会、場合、出来事
 occupy[動],占有する、居住する
 odd[形],奇妙な、変な、異様な、普通ではない
 off-limits[形],立ち入り禁止の
 offender[名],犯罪者、違反者
 offer[動],提供する、用意する、申し出る
 offspring[名],子孫、子
 once ～[接],ひとたび～すれば
 online[副],オンラインで、インターネットで
 operate[動],営業活動を行う、経営する
 operator[名],電話交換手、運転者、技師
 opinion[名],意見、考え
 opponent[名],（試合、論争などの）相手、反対者、反対派
 oppose[動],反対する
 opposite[形],正反対の、対照的な、向かい側の
 option[名],選択、選択肢、オプション
 optional[形],随意の、任意の
 ordinary[形],普通の、平素の、ありふれた
 orientation[名],説明会、オリエンテーション
 original[形],初期の、最初の、元の
 originate[動],生じる、始まる、（～に）起源がある
 output[名],生産（高）
 overlap[動],重ねる
 overlap[名],部分的重複、重複部分
 overwhelm[動],圧倒する、打ちのめす
 overworked[形],過重労働の
 owe[動],（～to…を後ろに置いて）～は…のおかげだ
 oxygen[名],酸素
 pain[名],痛み、苦痛
 palace[名],宮殿
 pale[形],青ざめた、蒼白な、顔色の悪い
 parcel[名],小包、小荷物
 participant[名],参加者、出場者
 passenger[名],乗客、同乗者
 passion[名],情熱
 passionately[副],情熱的に
 pastime[名],娯楽、気晴らし、余暇の楽しみ
 pasture[名],牧草地、牧場
 pay[動],支払う、（注意・敬意など）を払う
 payment[名],支払い、納付
 peaceful[形],平和な、平和的な
 peer[動],じっと見る
 peoples[名],民族、国民
 perception[名],知覚、認知、認識
 permanently[副],永久に
 permit[動],許可する、認める
 personal[形],個人的な、個人に関する、私的な
 personality[名],人柄、性格、人格
 philosopher[名],哲学者
 photography[名],写真撮影、写真術
 physical[形],身体の、身体的な、肉体の
 physically[副],身体（肉体）的に、物理的に
 pirate[名],海賊
 plastic[形],プラスチック製の、柔軟な
 play[名],戯曲、演劇、芝居
 pleasant[形],心地よい、楽しい、感じのよい
 plot[名],（映画、物語などの）筋、構想、たくらみ
 Poland[名],ポーランド
 political[形],政治の、政治上の、政治に関する
 pollution[名],汚染、公害
 poor[形],劣等な、へたな
 poorly[副],みすぼらしく、不十分に、下手に
 popularity[名],人気、高い評判
 portable[形],携帯用の、持ち運びが可能な
 possible[形],可能な、起こりうる、可能性がある
 post[名],地位、職、立場、郵便ポスト、郵便
 poverty[名],貧乏、貧困
 practice[名],実践、実行、慣行
 praise[名],称賛、賛美
 precious[形],貴重な、尊い、高価な
 precise[形],正確な、的確な
 precisely[副],まさに、正確に
 predictable[形],予測可能な
 prediction[名],予言、予測
 prefer[動],～の方を好む
 preference[名],好み、好物、選好
 preserve[動],保存する、保護する
 prestigious[形],高名な、名声のある、権威のある
 pretty[副],とても、かなり、非常に
 prevent[動],防ぐ、妨げる
 primarily[副],第一に、主として
 principle[名],原理、原則、主義
 prior[形],（順序や時間などが）先の、前の
 prison[名],刑務所
 privacy[名],人目を避けること、プライバシー
 procedure[名],手続き、手順
 proceed[動],進む、続行する
 process[名],過程、作用、一連の作業
 product[名],製品、生産物
 profit[名],利益、収益
 prominence[名],卓越、目立つこと、最盛期
 promise[動],約束する、誓う
 pronunciation[名],発音
 prosper[動],繁栄する、繁盛する
 proud[形],誇りに思って
 prove[動],証明する
 provide[動],提供する、供給する、与える
 punch[動],殴る、たたく、打つ
 punish[動],罰する
 purchase[動],購入する
 pure[形],純粋な、混じりけのない、澄んだ
 purely[副],全く、単に、純粋に
 purse[名],財布、ハンドバッグ
 pursue[動],追及する、追い求める
 qualification[名],資格、能力、適性
 rage[名],怒り、激怒
 raise[動],育てる、養う
 range[動],変動する、～に及ぶ、分布する、さまざまである
 rarely[副],まれに、めったに～ない
 rating[名],格付け、等級、評価、評定
 rational[形],理にかなった、合理的な、理性的な
 react[動],反応する、反抗する
 reader[名],読者、読本
 rear[名],後方、後ろ、背面
 rebel[名],反逆者、反抗者
 recently[副],最近、近頃
 recognition[名],認識、評価、見覚え
 reel[名],リール、巻き枠
 refine[動],精製する、洗練する
 reflective[形],思慮深い、内省的な、反射する
 refusal[名],拒絶、拒否
 regard[動],評価する、見なす
 regard[名],注意、関心
 regarding[前],～に関して、～に関する
 regret[動],悔む、残念に思う
 regulate[動],調整する、調節する、規制する
 relationship[名],関係、関連
 relative[名],親類、親族
 relative[形],相対的な
 relaxation[名],息抜き、気晴らし
 release[名],放出、解放
 reliable[形],信頼性のある、頼りになる
 relieve[動],安心させる、（痛み、不安などを）軽減する/和らげる
 reluctant[形],乗り気でない、渋っている、気が進まない
 remain[動],～のままでいる
 remark[動],述べる、言う
 remark[名],コメント、意見、寸評
 replace[動],取り替える、取って代わる
 reply[名],返事、返答
 represent[動],表す、示す、象徴する
 representation[名],表現、描写、代表
 reproduce[動],複製する、生殖する、再生する
 reputation[名],評判
 required[形],必須の
 research[名],研究、探究
 residential[形],住宅向きの、寄宿生の
 resist[動],抵抗する
 resistant[形],抵抗力のある
 resource[名],資源、供給源
 responsibility[名],責任、義務
 restless[形],落ち着かない
 reuse[名],再利用
 reverse[動],逆にする、逆転させる
 review[名],検査、論評、見直し
 rhythmic[形],リズミカルな、律動的な
 right[副],ちょうど、まさしく、まさに
 ring[動],（電話などが）鳴る
 ripe[形],熟した
 risk[名],リスク、危険
 rival[名],ライバル、競争相手
 roast[動],あぶる、焼く
 rod[名],棒、さお
 roof[名],屋根
 roughly[副],おおよそ、概略で
 rule[動],支配する
 rush[動],大急ぎで行く、突進する
 sack[名],大袋、袋
 sake[名],ため、目的
 sanction[名],制裁
 satisfactorily[副],満足に
 saw[動],のこぎりで切る
 scale[名],規模、縮尺
 scan[動],ざっと目を通す、注意深く調べる、スキャンする
 scarce[形],乏しい、不十分な
 scare[動],びっくりさせる、怖がらせる
 scenery[名],景色
 scheme[名],計画、企み、枠組み
 scope[名],範囲、領域
 scream[名],叫び声
 seal[名],印（いん）、印章
 search[動],捜す
 seated[形],席に着いていて
 senator[名],上院議員
 sensational[形],扇情的な、世間をあっと言わせる
 sense[名],感覚、感じ、気持ち
 sentiment[名],感情
 serious[形],まじめな、本気の
 seriously[副],まじめに、本気で、深刻に
 sharp[形],鋭い、急激な、はっきりした
 shatter[動],打ち砕く、粉砕する
 shipping[名],発送、送料
 shock[名],衝撃、ショック
 shocking[形],衝撃的な、不快な
 shook[動],shakeの過去形
 short-term[形],短期（間）の
 shortly[副],じきに、間もなく
 shy[形],内気な、気弱な、恥ずかしがりの
 signature[名],署名
 significance[名],重要性、意味、意義
 silly[形],ばかな、くだらない、愚かな
 sink[動],沈む
 site[名],現場、敷地、用地、場所
 skeleton[名],骨格、骸骨
 snack[名],おやつ、軽食、スナック
 snowfall[名],降雪（量）
 so called[形],いわゆる
 software[名],ソフトウェア
 soil[名],土壌
 solid[形],固体の、堅い、堅固な
 some[副],約、おおよそ
 sometime[副],（未来の）いつか、（過去の）ある時
 sore[形],（喉、筋肉などが）痛い、ひりひりする
 sour[形],酸っぱい
 southern[形],南の、南方の
 specialist[名],専門家
 specialized[形],専門化した、専門の
 sphere[名],球、球体
 spice[名],香辛料、スパイス、薬味
 spirit[名],精神、精霊、霊
 spit[動],唾を吐く、軽蔑する
 splendid[形],豪華な、華麗な
 spread[動],広がる、広げる
 spur[動],促進させる、駆り立てる
 spy[名],スパイ
 stain[名],染み、汚れ
 stake[名],賭け、賭け金、利害関係
 stand[動],耐える、我慢する
 stand[動],（ある場所に）位置する、ある
 steer[動],操縦する、かじを取る、（人）を導く
 stem[動],～から生じる、～に由来する
 stick[名],棒、つえ
 stimulus[名],刺激
 stock[名],在庫品
 stop[名],（バスの）停留所、（旅行中の）滞在場所
 store[動],蓄える、保存する、保管する
 stormy[形],嵐の、暴風に襲われた、荒天の
 strength[名],力、強さ、強み
 strict[形],厳格な、厳密な
 strive[動],努力する
 structural[形],構造上の
 substance[名],物質
 substantial[形],かなりの、相当の
 succeed[動],成功する
 suck[動],吸う
 sudden[形],突然の
 suggest[動],提案する、ほのめかす、思いつかせる、連想させる、示す
 suggestion[名],提案、示唆
 suit[動],～に適する、～に似合う
 sum[名],合計、総計、金額
 sunlight[名],日光
 supporting[形],支える、助演の
 supreme[形],最高の
 surface[名],表面
 surgery[名],手術
 surrender[動],降伏する、譲り渡す
 survey[名],調査
 survive[動],生き残る、切り抜ける
 suspect[動],疑う、～ではないかと思う
 sustain[動],維持する、支える
 sway[動],揺れる、揺れ動く
 swift[形],素早い、即座の、迅速な
 tackle[動],取り組む、立ち向かう
 tag[名],値札、（紐などで付ける）札
 tap[名],蛇口、栓
 target[名],（到達）目標、目的、標的
 tax[名],税金
 technically[副],厳密に言えば、専門的に
 technological[形],技術の、科学技術の
 term[名],学期、期間、任期
 terrace[名],連続住宅、テラスハウス、テラス
 terror[名],恐怖
 terrorism[名],テロ（行為）
 thankful[形],（～に）感謝して、ありがたく思って
 theft[名],窃盗（罪）
 theme[名],主題、テーマ
 thoroughly[副],完全に、十分に
 thought[名],考え、思いつき
 threaten[動],脅迫する、危険にさらす
 throughout[前],～の至るところに、～中に
 thunder[名],雷、雷鳴
 thus[副],したがって、このようにして
 tide[名],潮汐、潮流、物事の動き
 tighten[動],締める、きつくする、厳しくする
 tin[名],スズ
 tip[名],アドバイス、コツ、役立つ情報
 title[名],題名、肩書き
 tone[名],音色、音質、色調
 totally[副],完全に、全く、とても
 tough[形],たくましい、丈夫な、堅い
 tour[名],周遊旅行、ツアー
 tournament[名],トーナメント、勝ち抜き試合
 toy[名],おもちゃ、玩具
 trade[名],貿易、通商
 trader[名],貿易業者、商人
 trail[名],跡、通った跡、小道、街道
 transfer[動],異動（転校）する/させる、移動する/させる
transfer[名],移動、移行
 transmission[名],伝達、伝染
 trap[名],わな
 trash[名],ゴミ、ゴミ箱
 tray[名],盆、盛り皿、受け皿、トレイ
 treatment[名],処置、治療、待遇
 tremble[動],震える
 tremendous[形],莫大な、すさまじい
 tricky[形],扱いにくい、狡猾な、巧みな
 trigger[動],引き起こす、もたらす、引き金となる
 tube[名],管、チューブ、（英）地下鉄
 tutor[名],家庭教師、個人教授、指導教員、（大学の）助手
 twin[名],双子
 unavoidable[形],避けられない、不可避の
 unbelievable[形],信じられない
 unconscious[形],無意識の
 uncover[動],暴く、明るみに出す、暴露する
 undeniably[副],間違いなく、紛れもなく
 underground[名],地下（空間）
 underneath[前],～の下に
 uneasy[形],不安な、落ち着かない
 unfair[形],不公平な、不公正な
 unfold[動],開く、広げる、展開する
 unimportant[形],重要でない
 unique[形],独特の、ただ一つの、珍しい、一意的な
 universe[名],宇宙
 university[名],大学
 unless[接],もし～でなければ、～でない限り
 unlike[形],異なる
 unsuccessful[形],失敗した
 unusual[形],珍しい、普通でない
 unwilling[形],（～することに）気が進まない
 up[形],起きている、目覚めている
 upset[動],壊す、乱す、動揺させる
 urban[形],都市の、都会の
 US[名],（the ～）（アメリカ）合衆国
 useless[形],役に立たない
 usual[形],いつもの、通例の
 utility[名],(複)（水道、ガスなどの）公益事業
 utilize[動],使用する、利用する
 valuable[形],価値のある、貴重な、高価な
 variety[名],多様性、（いろいろな）種類
 venture[動],危険を冒して進む/試みる
 vessel[名],船、大型船、船舶
 vice[名],悪、悪徳
 Vietnamese[形],ベトナム人の
 villager[名],村人
 vineyard[名],ブドウ畑
 violate[動],違反する
 violence[名],暴力
 virtual[形],仮想の、事実上の
 virtue[名],美徳、長所
 visa[名],ビザ、査証
 vision[名],見通し、展望、未来像
 vital[形],きわめて重要な、不可欠の、生命に関する
 volunteer[名],ボランティア
 vote[名],投票、票
 warehouse[名],倉庫
