 aberration[名],異常、常軌を逸すること
 court[動],求愛する
 coward[名],臆病者
 cower[動],(恐怖で)縮み上がる
 cradle[名],ゆりかご、小児用ベッド
 crater[名],噴火口、（月面などの）クレーター
 credential[名],（複数形で）信任状、資格、経歴、資質
 crustacean[名],（エビやミジンコなどの）甲殻類
 cuisine[名],料理
 culminate[動],結果的に～になる、最高潮に達する
 curator[名],（図書館、美術館などの）館長、学芸員
 curtail[動],削減する、短縮する、制限する、切り詰める
 decipher[動],解読する、判読する
 deference[名],服従、敬意、尊敬
 dejected[形],気落ちした
 delinquency[名],（青少年の）非行、犯罪
 Democrat[名],（米国の）民主党員
 Democrats[名],（米国の）民主党（the ～）
 density[名],密度、濃さ
 dentistry[名],歯科医業
 dew[名],露、しずく
 diabetic[形],糖尿病の
 diffuse[動],散らす、拡散する
 digestive[形],消化の、消化を助ける
 digit[名],桁、数字
 diminutive[形],小さい、小柄の、ちっぽけな
 discerning[形],明敏な、洞察力のある
 diurnal[形],昼間活動する、昼間の
 docile[形],柔順な
 dogmatic[形],独断的な、教義上の
 domed[形],ドーム状の
 domineering[形],ごう慢な
 don[動],着る、かぶる
 dormant[形],（火山が）活動休止中の、休眠中の
 dough[名],パン生地、こね粉
 downpour[名],大雨、豪雨、土砂降り
 duel[名],決闘、果たし合い
 dumb[形],言葉の不自由な、無口な、（驚きなどで）物も言えない
 elapse[動],（時が）経過する
 electron microscope[名],電子顕微鏡
 elm[名],ニレの木
 embellish[動],飾る、美しくする
 enigma[名],謎、謎めいた言葉
 enigmatic[形],なぞのような
 enmity[名],敵意、憎しみ
 entail[動],必要とする、（必然的に）伴う
 epic[名],叙事詩
 epoch[名],時代、（画期的な）出来事
 equilibrium[名],均衡、平衡
 equitable[形],公平な、公正な、正当な
 erosion[名],浸食（作用）、腐食（作用）
 errant[形],正道から離れた
 erratic[形],不規則な、一貫性のない、異常な
 esophagus[名],食道
 eulogy[名],賛辞、賞賛
 evaporate[動],蒸発する
 evergreen[形],常緑の
 exacerbate[動],悪化させる、怒らせる
 excavate[動],発掘する、穴を掘る
 excretion[名],排出
 expedient[形],(目的達成に)役立つ
 expedite[動],はかどらせる、促進する
 exposition[名],博覧会
 extort[動],強要する、無理強いする
 extraction[名],抽出
 extremity[名],先端、極度
 fabricate[動],作り上げる、でっちあげる、製作する
 falcon[名],ハヤブサ
 fallback[形],代替の
 fatality[名],死亡者、死亡者数
 ferment[動],～を発酵させる
 ferocious[形],どう猛な
 feudalism[名],封建制度
 fief[名],領地
 finesse[名],技巧、巧妙な処理、策略
 flamboyant[形],けばけばしい
 fleeting[形],はかない、束の間の
 fluorescence[名],蛍光発光、蛍光性
 flyby[名],接近通過
 footnote[名],脚注
 forage[名],飼料
 forbearance[名],差し控えること、忍耐、寛容
 forearm[名],前腕
 forefather[名],（家系に関係なく）父祖、祖先
 foremost[形],一番先の、最先端の
 foresight[名],先見、将来への洞察
 forgo[動],なしですませる、慎む
 fortification[名],要塞、とりで
 freshwater[形],真水の、淡水の、淡水にすむ
 frilly[副],ひだ飾りをつけたような
 frugal[形],質素な、倹約する
 fulcrum[名],支点
 furor[名],熱狂、興奮、激怒
 futile[形],無駄な、無益な、くだらない
 game[名],(狩猟の)獲物
 general relativity[名],一般相対性(理論)
 geyser[名],間欠泉
 gist[名],要点
 gnaw[動],かみ切る
 granite[名],花こう岩
 grater[名],掘削機
 gregarious[形],社交的な、社交好きな、群生の
 haphazard[形],偶然の、行き当たりばったりの
 herbivorous[形],草食性の
 hieroglyph[名],象形文字
 honeycomb[名],ミツバチの巣
 horticulture[名],園芸（学）
 house[名],議会
 hub[名],中心（地）、中核
 humane[形],慈悲深い、思いやりのある、人道にかなった
 hush[名],静寂
 hydroelectric[形],水力発電の
 hydrophobia[名],恐水症
 hypothetical[形],仮想的な、仮説の
 idolize[動],崇拝する
 ignite[動],点火する
 impeach[動],弾劾する、非難する
 impel[動],(感情などを)駆り立てる
 impermeable[形],不浸透性の
 impervious[形],(精神などが)影響されない
 imprecise[形],あいまいな
 impressionism[名],印象派
 inadvertently[副],何の気なしに、偶然に、うっかり
 incense[動],(人を)怒らせる
 incidentally[副],ちなみに、ところで、ついでながら
 incompetent[形],無能な
 indeterminable[形],あいまいな
 indiscriminate[形],無差別の、見境のない
 industrialist[名],産業主義者(資本家)
 infallible[形],絶対に誤ることのない
 infest[動],はびこる、横行する
 inflame[動],火が付く、（情熱などを）かき立てる、燃え上がらせる
 inflate[動],膨らませる、物価をつり上げる
 inhale[動],吸い込む、吸収する
 inscribe[動],（文字などを）刻む、記す
 insensitive[形],無関心な、無感覚な
 insipid[形],味気ない
 insolvent[形],破産した、支払不能の
 integrated circuit[名],ＩＣ(集積回路)
 internal combustion engine[名],内燃機関
 inundate[動],殺到する、水浸しにする、氾濫する
 inversely[副],反比例して
 irrigation[名],灌漑
 jargon[名],特殊用語、業界用語
 jeopardize[動],危うくする、危機に陥れる、台無しにする
 laborious[形],骨の折れる
 landfill[名],ごみ埋め立て地
 languish[動],みじめな生活をする、しぼむ、元気がなくなる
 lapse[名],小さな過失、時の経過
 larva[名],幼虫
 larynx[名],喉頭(こうとう)
 latency period[名],（病気の）潜伏期間
 lateral[形],横の、側面の
 latitude[名],緯度
 light-year[名],光年
 limber[形],柔軟な
 limestone[名],石灰岩
 linguistics[名],言語学
 liquefy[動],液化する
 liquidate[動],（負債などを）清算する、（会社など）整理する
 locomotion[名],移動、運動
 lofty[形],崇高な、高慢な、非常に高い
 luckily[副],運良く
 luminary[名],専門家、エキスパート
 luminescent[形],発光する
 luster[名],光沢
 major planet[名],大惑星
 malleable[形],（金属が）可鍛性の、順応性のある
 mandate[名],（選挙民から与えられる）委任、負託 、権限
 mandatory[形],義務的な、必須の
 master's degree[名],修士号
 materialism[名],物質主義、唯物論、唯物主義
 maternal[形],母親の、母親らしい
 mean[名],平均値
 meander[動],くねくねと曲がる
 melting pot[名],(人種の)るつぼ
 membrane[名],（動植物の）薄膜、膜組織、羊皮紙
 memorialize[動],記念する
 mentor[名],恩師、良き指導者、教師
 mercantilist[名],重商主義者
 minor planet[名],小惑星
 mirage[名],蜃気楼
 momentous[形],重大な、重要な
 moneran[名],モネラ
 monologue[名],独白
 motif[名],主題、モチーフ、テーマ
 mumps[名],おたふくかぜ
 mythical[形],神話上の
 nasal cavity[名],鼻腔（びこう）
 natural selection[名],自然淘汰
 nebula[名],星雲
 nonstimulating[形],刺激のない
 nostril[名],鼻孔
 notoriety[名],悪評
 nullify[動],無効にする
 oblique[形],斜めの、遠回しな
 obliterate[動],完全に破壊する
 obstruct[動],妨害する、さえぎる
 oligarchy[名],寡頭(かとう)政治(少数者が国家の最高機関となって行う政治)
 oligopoly[名],寡占（かせん）
 ombudsman[名],オンブズマン
 opaque[形],不透明な、（意味などが）分かりにくい
 ore[名],鉱石
 oscillate[動],（前後に）揺れる、振動する、振動させる
 outgrow[動],～よりも成長する
 outlast[動],～より長く生き残る、～より長く続く
 outnumber[形],数で勝る、多い
 overcast[形],曇った
 paddy field[名],（稲の）水田
 paleontology[名],古生物学
 pallor[名],青白さ
 paralysis[名],まひ、停滞
 pasteurization[名],低温殺菌、加熱殺菌
 peck[動],（くちばしで）ついばむ、つつく
 penicillin[名],ペニシリン
 perfunctory[形],いい加減な、やる気のない
 perimeter[名],（図形の）周囲
 perspire[動],発汗する、汗をかく
 pertinent[形],関連する、適切な
 photoperiodism[名],光周性、光周期現象
 photosynthesize[動],光合成をする
 plankton[名],プランクトン
 platelet[名],血小板
 playwright[名],脚本家
 pod[名],（エンドウなどの）さや
 polar[形],極地の
 politic[形],思慮深い、賢明な、適切な
 porous[形],多孔質の、浸透性の
 poultry[名],家禽
 preclude[動],排除する、妨げる
 predator[名],捕食動物
 presumption[名],推測、推定
 prime[名],最盛期、全盛期、頂点
 principal focus[名],(レンズの)焦点
 probation[名],執行猶予、仮及第期間
 profusely[副],豊富に、過度に
 proletariat[名],プロレタリアート(労働者)
 propagation[名],(地震波などの)伝播
 propriety[名],礼儀正しさ、作法、適切さ
 protectionism[名],保護貿易政策
 protist[名],原生生物
 provident[形],先見の明のある、つましい、慎重な
 provision[名],(法令などの)条項、規定
 proximity[名],近接、近さ
 psychiatric[形],精神病学（治療）の
 psychosis[名],精神病
 psychotic[形],精神病の
 pulsate[動],脈打つ
 punctuation[名],句読点、句読法
 pupa[名],さなぎ
 quartet[名],四重奏、四重唱
 radiate[動],放射する、発する
 radius[名],半径
 ratify[動],批准する
 recitative[名],徐唱
 reclaim[動],開墾する、埋め立てる
 reclaimed land[名],開墾地、埋立地
 redden[動],赤くなる
 refraction[名],屈折
reliant (on ～),依存した
 remuneration[名],報酬、給料
 replicate[動],複製する、模写する
 repository[名],保管場所
 repress[動],抑制する
 repression[名],抑圧、弾圧、圧政
 repressive[形],抑圧的な
 resemblance[名],類似
 reservation[名],居留地
 residential hall[名],学生寮
 resonant[形],朗々とした、鳴り響く、反響する
 respiration[名],呼吸
 retiring[形],内気な、引っ込み思案な
 rhyme[名],詩歌
 Romanesque[名],ロマネスク様式
 rookery[名],（アザラシやペンギンの）集団繁殖地
 sap[動],樹液を搾り取る、(徐々に)弱らせる
 satirize[動],風刺する
 scorch[動],（皮膚などを）焼く、焦がす
 seduce[動],誘惑する、くどく
 skeptic[名],懐疑論者、疑い深い人
 slab[名],厚い板
 solicitous[形],案じている、強く望んでいる、用心深い
 solute[名],溶質
 spartan[形],質素な、質実剛健な
 spellbound[形],魔法にかかった、魅了された
 spool[名],糸巻き
 sprawl[動],（都市などが）不規則に広がる
 square root[名],平方根
 standstill[名],停止、足踏み状態
 statistician[名],統計学者
 statutory[形],法定の、法令による
 stethoscope[名],聴診器
 stimulant[名],刺激物、興奮剤
 stink[動],悪臭がする、（ひどく）臭い
 Stone Age[名],石器時代
 sturdy[形],頑丈な、丈夫な
 sublime[形],崇高な
 submerge[動],沈む、沈める、浸す
 submersible[名],潜水艇
 succinct[形],簡潔な、ずばりの
 swarm[動],群れでいっぱいになる
 tacit[形],無言の
 tactic[名],方策、戦術
 taint[動],傷つける、汚す
 taster[名],試飲家
 taut[形],(糸などが)ピンと張った、緊張した
 terminology[名],専門用語
 terrestrial[形],陸生の、地球の
 theoretically[副],理論上は
 therapeutic[形],治療の
 thin[形],微妙な、弱い、不明確な
 thrifty[形],質素な、つましい、倹約する
 tinge[名],色合い
 toad[名],ヒキガエル
 transcript[名],学業成績証明書
 transient[形],一時的な、つかの間の、その場限りの
 tremor[名],（地面などの）震動、弱い地震
 tropic[名],熱帯地方
 trough[名],（波などの）谷間、（景気などの）底
 tryout[名],（スポーツチーム、劇団などの）適性試験、オーディション
 tuition[名],授業料
 turbine[名],タービン
 turbulence[名],大荒れ、動乱、乱気流
 turbulent[形],騒々しい、（感情などが）かき乱された、荒れ狂う
 tusk[名],きば
 typhoid[名],腸チフス
 unattached[形],結婚していない
 underhanded[形],不正の
 underpin[動],支える、補強する
 unearth[動],掘り出す、発掘する、明るみに出す
 unerring[形],正確この上ない
 unintentionally[副],偶然に
 unsolved[形],未解決の
 utilitarianism[名],功利主義
 vaccination[名],予防接種
 vanquish[動],打ち負かす
 vehement[形],激しい、熱狂的な
 venerableness[名],人格者、尊敬すべき人
 ventilate[動],換気する
 veterinarian[名],獣医
 vex[動],やきもきさせる、てこずらせる、苦しませる
 vice[名],万力
 viscosity[名],粘着性、粘度、粘性
 voracious[形],貧欲な
 waive[動],（権利や条件を）放棄する、免除する
 well-off[形],裕福な
 whisker[名],（ネコなどの）ひげ、頬ひげ
 wilt[動],しょげる
 yellow fever[名],黄熱病
 zip code[名],郵便番号
