abbreviate[動],（言葉などを）短縮する、省略する
 law enforcement[名],法の執行（機関）
 lawless[形],無法の、非合法な、手に負えない
 layman[名],素人
 leaded[形],（ガソリンなどが）有鉛の
 leaven[動],（パンを）発酵させる/膨らませる
 ledge[名],棚、出っ張り、隆起した岩
 legion[名],多数、大群、軍団
 lethal[形],致死の、致命的な
 leukemia[名],白血病
 liability[名],（賠償の）責任
 life expectancy[名],（平均）寿命、（平均）余命
 life-size[形],等身大の、実物大の
 lifespan[名],寿命、耐用期間
 likeminded[形],同じような考え（趣味など）を持った
 liken[動],たとえる、なぞらえる
 limestone[名],石灰岩
 literati[名],知識人、知識階級
 livestock[名],家畜（類）
 loath[形],（～するのが）気の進まない、嫌で
 lobbying[名],ロビー活動、陳情運動
 longitude[名],経度
 low-lying[形],低地の
 lunatic[形],狂気じみた、ばかげた
 malicious[形],悪意のある
 mandate[動],命じる、義務づける、～の統治を委任する
 maneuver[動],(巧みに)操縦する、操作する
 maneuver[名],操作、操縦、作戦行動、策略
 marketable[形],売り物になる、需要になる
 Mars[名],火星
 marshal[動],整列させる
 marsupial[名],有袋動物
 mason[名],石工、れんが職人
 masses[名],（the ～）一般大衆、庶民、多数
 materialistic[形],実利主義の
 maternal[形],母親の、母親らしい
 metamorphosis[名],変態
 methodology[名],方法論、研究方法
 microbe[名],細菌、微生物
 migrant[名],（経済的理由などによる）移住者
 migratory[形],移動の
 mimetic[形],模倣の、見せかけの
 miscellaneous[形],種々雑多な
 mitigate[動],（苦痛などを）軽減する
 molar[名],臼歯
 monochrome[形],monochrome
 monoculture[名],単作、一毛作、単式農法、単一文化
 moody[形],憂鬱な、気分屋の
 mucus[名],粘液
 muggy[形],蒸し暑い
multicultural[形],多文化の
 multifaceted[形],広範囲の、多面的な、多才の
 mundane[形],この世の、ありきたりの、日常の、
 murky[形],暗い、陰気な、濁った、うさん臭い
 naysayer[名],いつも反対する人
 neuron[名],ニューロン
 nitrogen[名],窒素
 nock[名],隅、人目につかないところ
 noteworthy[形],目だった、顕著な、注目すべき
 numeric[形],数字の、数値の
 oblique[形],斜めの、遠回しな
 occupancy[名],（ホテルや部屋等の）占有、占有人数
 octagon[名],八角（辺）形
 odyssey[名],長い放浪（冒険）の旅
 on-the-spot[形],現場での
 onshore[形],陸の、陸上の、オンショアの（金融用語として「国内の」）
 optimum[形],最適の、最善の
 optometrist[名],視力検査師
 orthography[名],正字法、正書法、綴字法
 osteopath[名],整骨医
 outgrowth[名],当然の結果、自然の成り行き
 outlay[名],支出、出費、経費
 outrageous[形],途方もない、法外な、無法な
 outright[形],徹底的な、率直な
 overeat[動],食べ過ぎる
 overflowing[形],あふれ出る
 overpriced[形],（価格や請求額が）高過ぎる
 oversee[動],監督する、取り締まる
 overstocking[名],過剰在庫
 overtax[動],過大な負荷をかける、重い負担をかける
 pacify[動],なだめる、静める、鎮定する
 palatable[形],口に合う、おいしい、受け入れられる
 pancreas[名],膵臓
 parameter[名],要因、媒介変数、パラメーター
 paramount[形],最高の、主要な、卓越した
 paraphernalia[名],装備、設備、手回り品
 parasite[名],寄生虫、寄生動物
 parched[形],乾き切った
 parole[名],仮釈放、仮出所、釈放宣言
 patently[副],明白に、公然と
 patriotism[名],愛国心
 peck[動],（くちばしで）ついばむ、つつく
 pendulum[名],振り子
 perennial[形],長く続く、多年生の
 periodical[名],定期刊行物、雑誌
 periphery[名],周辺部、外周
 periscope[名],（潜水艦の）潜望鏡
 perk[名],(俸給以外の)特典、恩恵
 permeate[動],～に染み込む、浸透する
 permutation[名],順列、置換
 perverse[形],ひねくれた、あいにくの、邪悪の
 petal[名],花びら
 Ph. D.[名],博士号
 physiology[名],生理学、生理（機能）
 pickpocketing[名],すり行為
 pivotal[形],極めて重要な、中心となる
 placebo[名],偽薬、プラシーボ
 plagiarize[動],盗作する、盗用する
 plaintiff[名],原告、告訴人
 pliable[形],曲げやすい、柔軟な、適応性のある
 plyometrics[名],筋肉強化法、筋肉緊張法
 pneumonia[名],肺炎
 pointless[形],無意味な、要領を得ない
 poised[形],用意ができている、身構えて
 pollination[名],受粉
 porous[形],多孔質の、浸透性の
 portfolio[名],作品集、有価証券一覧
 postgraduate[形],(英）大学卒業後の、大学院の
 precarious[形],不安定な、心もとない、当てにならない
 predispose[動],あらかじめ（～の）傾向を与える (to ～)
 predominate[動],優位を占める、圧倒的に多い
 preeminent[形],卓越した、優位の
 prefabricate[動],組み立て方式で作る
 primeval[形],原始時代の、太古の
 pristine[形],損なわれていない、原始の、汚れていない
 prodigy[名],神童、天才、奇才
 profusion[名],豊富
 prohibitive[形],（税、規則などが）禁止する、（値段が）高い
 projection[名],予測、見積もり
 proponent[名],支持者、主唱者
 protrude[動],突き出す、突き出る
 provenance[名],起源、出所、由来
 proximity[名],近接、近さ
 psyche[名],精神、心、魂
 psychiatric[形],精神病学（治療）の
 puberty[名],思春期
 puerile[形],幼稚な
 pumice[名],軽石
 punchline[名],（ジョークの）落ち
 punishable[形],罰し得る、罰すべき
 rabies[名],狂犬病
 radiant[形],光輝く、光を放つ
 ratify[動],批准する
 re-establishment[名],再設、再建、復元
 reagent[名],試薬
 rechargeable[形],再充電可能な
 reciprocity[名],相互依存（作用）、相互関係
 recourse[名],頼りにすること、頼みとするもの(人)
 recreational[形],楽しみを得るための
 rectangular[形],長方形の、直角の
 recur[動],繰り返される
 recyclable[形],再生利用可能な
 redemption[名],償却、買い戻し、引き換え、神の救い
 reflex[名],反射作用、反射神経、反射的な動作
 refurbish[動],一新する、改装する
 refurbishment[名],改修
 regimen[名],健康増進法、指導計画
 reimburse[動],払い戻す
 renewable[形],再生可能な
 renounce[動],（権利を）放棄する
 reorient[動],新しい方向に向ける、順応させる
 repaint[動],塗り直す
 repeal[動],（法律等を）取り消す、廃止する
 repercussion[名],（複数形で）反響、余韻
 repertoire[名],レパートリー、上演目録、演奏曲目
 replenish[動],補給する、補充する
 resemblance[名],類似
 resilience[名],回復力、復元力、弾力
 respiratory[形],呼吸の、呼吸器に関する
 retaliate[動],報復する
 retract[動],取り消す、引っ込める
 retrench[動],節約する、経費を切り詰める
 reverberate[動],（音が）反響する、こだまする
 revitalize[動],復興させる、再生する、再活性化する
 revolutionize[動],革命をもたらす、大改革する
 revulsion[名],嫌悪、反感
 rift[名],裂け目、割れ目、不和
 rudimentary[形],基本的な、初歩的な、原始的な
 saliva[名],唾液、つば
 save[前],〜を除いて
 scale[動],よじ登る
 scapegoating[名],責任転嫁
 scourge[名],災難、天罰、たたり
 scrutiny[名],綿密な調査、精査、監視、じろじろと見ること
 seasick[形],船酔いした
 secede[動],脱退する
 seclusion[名],隔離、孤立、引きこもること
 secrete[動],分泌する
 secular[形],世俗の、原生的な
 sediment[名],堆積物、沈殿物
 sedimentary[形],堆積 （物）の、沈殿物の
 seeding[名],苗木、若木
 seep[動],（水などが）漏れる
 segregation[名],人種差別、（人種）隔離
 self-made[形],（人が）自らの努力で成功（出世）した
 self-sustaining[形],自立する
 semantic[形],意味（論）の、語義（論）の
 sensory[形],感覚の
 sequential[形],連続して起こる、一連の
 service[名],礼拝、宗教儀式
 serving[名],（食べ物や飲み物の）一人分、一人前
 sewer[名],下水道、下水溝
 shard[名],（陶器、ガラスなどの）破片
 shipwreck[動],難破させる
 shoplift[動],万引きする
 shrewd[形],賢い、抜け目のない
 sibling[名],きょうだい、兄弟姉妹
 siege[名],（軍隊、警察による）包囲、包囲攻撃
 simulated[形],模造の、真似た
 sinew[名],腱
 skeptic[名],懐疑論者、疑い深い人
 slab[名],厚い板
 sluggish[形],のろい、緩慢な、活気のない
 sobriquet[名],あだ名、異名
 solidify[動],固まる、凝固する
 solvent[名],溶剤
 spark[動],引き起こす、活気づける
 spawn[動],（魚、カエルなどが卵を）産む、（考えなどを）生み出す
 spore[名],胞子、芽胞
 sprout[動],芽を出す
 squeak[動],甲高い声（音）を出す
 squirt[動],噴出する
 stag beetle[名],クワガタムシ
 stagger[動],仰天させる
 stagnant[形],よどんだ、活気がない、停滞した
 standstill[名],停止、足踏み状態
 stash[動],を隠しておく、しまっておく
 sterilization[名],避妊手術
 sterilize[動],消毒（殺菌）する
 stethoscope[名],聴診器
 strait[名],海峡
 streamline[動],合理化する、簡略化する
 stroke[名],脳卒中、発作
 studious[形],勉強好きな、研究熱心な
 stuffed[形],剥製の、ぬいぐるみの
 sturdy[形],頑丈な、丈夫な
 subsist[動],生計を立てる、（どうにか）生きていく
 subsistence[名],生存、必要最低限の生活
 subtitled[形],字幕付きの
 suction[名],吸うこと、吸引（力）
 sulfur[名],硫黄
 superannuation[名],老齢退職、老齢者年金
 supremacy[名],至高、優越性、覇権
 surrogate[形],代理の
 susceptible[形],（to ～の形で）～の影響を受けやすい、～に感染しやすい
 sustainability[名],サステイナビリティ、持続可能性
 sustainable[形],持続可能な、維持できる、環境に優しい
 swat[動],ピシャリと打つ
 sweeping[形],広範囲にわたる、圧倒的な
 swipe card[名],磁気カード
syllabus[名],教授細目、要旨、シラバス
 symmetrical[形],左右対称の
 synchronization[名],同時に起きること、同期すること
 tactic[名],方策、戦術
 tangible[形],有形の、触れることのできる、目に見える、明らかな
 taper[動],先細になる、先細にする
 tarnish[動],表面が曇る、色あせる、(評判・名声などを)傷つける
 taunt[動],あざける、嘲笑する、なじる
 taxing[形],ひどく骨の折れる
 telephony[名],電話による通信、電話機の製造
 tenable[形],（理論などが）批判に耐え得る
 tentacle[名],触手
 tenuous[形],（関係、根拠などが）希薄な、薄弱な
 terminology[名],専門用語
 tertiary[形],第三の
 thatch[動],（ワラなどで屋根を）葺く
 thaw[動],溶ける、和らぐ、解かす
 thaw[名],溶けること、雪解け
 thermal[形],温泉の、温度（熱）の、暖かい
 threefold[副],三重（倍）に
 ticketing[名],発券
 tickle[動],くすぐる
 tiered[形],層（段）になった
 till[名],（英）レジ
 timepiece[名],時計
 timid[形],臆病な
 tome[名],大型の分厚い本、大冊
 tote[動],持ち運ぶ、携帯する
 touchstone[名],基準、試金石
 tout[動],売り込む、おおげさに宣伝する、褒めちぎる
 townscape[名],都市風景（画）
 traffic[名],売買、取引
 tragically[副],悲しいことに、悲劇的に
 trample[動],踏み付ける
 tranquility[名],静けさ
 transgenic[形],遺伝子組み換えの
 transmute[動],を（～に）変える
 trappings[名],（地位などを）象徴する物
 tremor[名],（地面などの）震動、弱い地震
 triangulate[動],三角測量をする、三角法で測定する、三角法を用いる
 trolley[名],手押し車、トロッコ、路面電車
 turbulent[形],騒々しい、（感情などが）かき乱された、荒れ狂う
 twin-sided[形],2面ある、両側の
 ulcer[名],潰瘍
 ultrasonic[形],超音波の
 ultrasound[名],超音波
 unattainable[形],（目標などが）達成不可能な
 unconventional[形],慣例に従わない、型にはまらない、奇妙な
 underlie[動],～の基礎をなす、～の根底にある
 underscore[動],強調する、下線を引く
 unease[名],不安、居心地が悪いこと
 unintentional[形],故意でない
 unleaded[形],無鉛の
 unlicensed[形],無資格の
 unraveled[形],ほぐされた
 unsound[形],不十分な、信用できない
 unspoilt[形],損なわれていない
 untouched[形],触れられていない、手（口）を付けていない
 user-friendly[形],（機器、ソフトウェアなどが利用者にとって）使いやすい
 utopia[名],ユートピア、理想郷
 veer[動],方向を変える
 vegetation[名],植物、植生
 venom[名],毒、悪意
 ventilation[名],換気、風通し
 versatile[形],多才な、多用途の、融通が利く
 vested[形],既得の、所有の確定した
vice versa,反対に、逆もまた同様
 vicinity[名],近隣、付近
 victimless[形],犠牲者のいない
 vigilant[形],油断がない、警戒を怠らない
 viscosity[名],粘着性、粘度、粘性
 viscous[形],粘性の、ねばねばする
 visibility[名],視野、視界、目に見えること
 visual[名],映像、画像
 vocational[形],職業の
 void[形],無効の、空っぽの
 waggle[動],振る、揺する
 wane[動],（徐々に）弱くなる、衰退する
 waterfowl[名],水鳥
 whereby[副],それによって
 wherewithal[名],必要な手段（金）
 willingness[名],快く（～）すること
 yeast[名],イースト、酵母（菌）
 yolk[名],黄身、卵黄
